Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx3_3_CAS-I-III	NC_016640.1_4688	310	79	5.699999999999999e-36	120.8	5043292	5044221	NC_016640.1	4688	0.24516129032258063	0.9746835443037974	-1
Cas8b1_10_CAS-I-B	NC_016640.1_2418	185	567	0.0079	13.3	2565813	2566367	NC_016640.1	2418	0.41621621621621624	0.14109347442680775	1
PrimPol_1_CAS-I-II-III-IV-V-VI	NC_016640.1_1476	357	130	0.019	13.5	1553742	1554812	NC_016640.1	1476	0.12324929971988796	0.3153846153846154	1
Cas4_0_CAS-I-II-III-IV-V-VI	NC_016640.1_5471	1071	179	3.9999999999999995e-15	54.9	5927119	5930331	NC_016640.1	5471	0.28104575163398693	0.9888268156424581	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NC_016640.1_5472	880	179	2.4e-05	23.1	5930370	5933009	NC_016640.1	5472	0.2	0.9162011173184358	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NC_016640.1_782	228	179	0.048	12.3	800487	801170	NC_016640.1	782	0.3201754385964912	0.35195530726256985	1
Cas3-Cas2_0_IF	NC_016640.1_5564	315	1110	0.035	10.3	6022363	6023307	NC_016640.1	5564	0.44126984126984126	0.10810810810810811	1
gRAMP_0_CAS-III-E	NC_016640.1_3359	801	1610	3.8999999999999996e-32	109.3	3594106	3596508	NC_016640.1	3359	0.3295880149812734	0.16459627329192547	-1
gRAMP_0_CAS-III-E	NC_016640.1_3363	517	1610	7.8e-20	68.5	3597613	3599163	NC_016640.1	3363	0.6421663442940039	0.18322981366459629	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_3363	517	199	2.2999999999999996e-36	124.5	3597613	3599163	NC_016640.1	3363	0.7176015473887815	0.9899497487437185	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_3359	801	199	9.7e-27	93.0	3594106	3596508	NC_016640.1	3359	0.700374531835206	1.0	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_3364	810	199	5.1e-18	64.6	3599167	3601596	NC_016640.1	3364	0.4111111111111111	1.0	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_3386	315	199	2.7e-15	55.7	3629499	3630443	NC_016640.1	3386	0.7746031746031746	0.9949748743718593	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_4824	292	199	2.5e-14	52.5	5198019	5198894	NC_016640.1	4824	0.9212328767123288	0.9849246231155779	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_4822	621	199	2.5000000000000003e-12	46.0	5195761	5197623	NC_016640.1	4822	0.19806763285024154	0.48743718592964824	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_2723	250	199	1.1e-11	43.9	2909445	2910194	NC_016640.1	2723	0.976	0.964824120603015	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_3384	423	199	2.7999999999999996e-10	39.3	3627169	3628437	NC_016640.1	3384	0.5626477541371159	0.5025125628140703	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_2724	75	199	6.4e-08	31.6	2910343	2910567	NC_016640.1	2724	0.6	0.22613065326633167	-1
Csm3gr7_12_CAS-III-A-III-D	NC_016640.1_2721	219	199	6.6e-07	28.3	2908373	2909029	NC_016640.1	2721	0.2465753424657534	0.2663316582914573	-1
Cas9_1_II	NC_016640.1_2235	391	1120	0.0026	14.3	2379421	2380593	NC_016640.1	2235	0.12020460358056266	0.04642857142857143	1
Cas9_1_II	NC_016640.1_4350	157	1120	0.0029	14.2	4686042	4686512	NC_016640.1	4350	0.28662420382165604	0.044642857142857144	-1
