Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NC_019731.1	NC_019731.1@2	119747	121570	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[96]	['6.10e-55']	[0.447]	[0.872]
NC_019763.1	NC_019763.1@4	224978	227062	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[183]	['1.60e-12']	[0.417]	[0.816]
NC_019729.1	NC_019729.1@94	5968072	5971263	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[5075]	['1.40e-55']	[0.353]	[0.334]
NC_019729.1	NC_019729.1@14	687484	688818	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[609]	['1.00e-04']	[0.589]	[0.336]
NC_019729.1	NC_019729.1@43	2353754	2359463	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'PD_DExK_1_CAS-I-II-III-IV-V-VI']	[2049, 2053]	['4.80e-08', '3.20e-05']	[0.356, 0.736]	[0.507, 0.764]
NC_019729.1	NC_019729.1@41	2331960	2333561	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2028]	['3.50e-54']	[0.421]	[0.728]
NC_019731.1	NC_019731.1@1	22450	24246	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[15]	['1.80e-54']	[0.369]	[0.725]
NC_019729.1	NC_019729.1@80	5312502	5314349	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4532]	['2.70e-54']	[0.367]	[0.732]
NC_019729.1	NC_019729.1@42	2341322	2342203	False	14%	0%	I-A	2.0	['Cas6_8_CAS-I-II-III-IV-V-VI']	[2036]	['1.60e-46']	[0.973]	[0.985]
NC_019729.1	NC_019729.1@40	2140298	2142115	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1884]	['1.80e-54']	[0.365]	[0.725]
NC_019729.1	NC_019729.1@110	7020276	7020914	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[5944]	['1.60e-03']	[0.376]	[0.394]
NC_019729.1	NC_019729.1@8	482820	495764	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B', 'AbiEii_0_CAS-III', 'AbiEii_0_CAS-III', 'AbiEii_2_CAS-III-C']	[423, 426, 427, 430]	['2.00e-13', '3.00e-06', '2.20e-05', '2.20e-18']	[0.331, 0.387, 0.557, 0.676]	[0.492, 0.37, 0.489, 0.593]
NC_019729.1	NC_019729.1@53	2975840	2984814	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'CasR_1_CAS-I-II-III-IV-V-VI']	[2594, 2597]	['1.60e-54', '1.40e-03']	[0.38, 0.341]	[0.725, 0.349]
NC_019729.1	NC_019729.1@23	1102760	1103356	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[968]	['3.00e-65']	[0.975]	[0.936]
NC_019729.1	NC_019729.1@105	6806642	6808459	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[5773]	['1.80e-54']	[0.365]	[0.725]
NC_019729.1	NC_019729.1@4	90440	91174	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[83]	['2.20e-04']	[0.416]	[0.359]
NC_019730.1	NC_019730.1@1	26058	26681	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[19]	['6.80e-66']	[0.962]	[0.966]
NC_019730.1	NC_019730.1@4	215363	218723	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'RT_0_CAS-III-AM-III-B']	[215, 216]	['7.70e-64', '9.10e-50']	[0.394, 0.441]	[0.725, 0.869]
NC_019729.1	NC_019729.1@62	3711774	3712574	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3212]	['1.60e-04']	[0.401]	[0.359]
NC_019729.1	NC_019729.1@1	36418	43383	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B', 'TPR_1_CAS-III-A']	[31, 32]	['9.60e-14', '4.20e-05']	[0.398, 0.307]	[0.432, 0.468]
NC_019729.1	NC_019729.1@25	1168358	1169728	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[1025]	['1.00e-34']	[0.799]	[0.6]
NC_019729.1	NC_019729.1@34	1549686	1551386	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1346]	['1.90e-64']	[0.492]	[0.903]
NC_019729.1	NC_019729.1@108	6953981	6954619	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[5882]	['1.90e-03']	[0.408]	[0.433]
NC_019729.1	NC_019729.1@37	1872031	1875051	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[1634]	['8.70e-06']	[0.363]	[0.543]
NC_019729.1	NC_019729.1@29	1373258	1375075	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1192]	['1.80e-54']	[0.365]	[0.725]
