Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas5_3_CAS-I-B	NZ_CP017599.1_7285	115	174	0.06	12.0	9348750	9349094	NZ_CP017599.1	7285	0.6	0.40229885057471265	-1
Csx1_20_CAS-III	NZ_CP017599.1_6146	301	379	0.0066	14.0	7895717	7896619	NZ_CP017599.1	6146	0.22259136212624583	0.17150395778364116	-1
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_3640	199	130	0.024	13.5	4649125	4649721	NZ_CP017599.1	3640	0.1658291457286432	0.25384615384615383	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_473	266	179	3.6e-05	22.8	560096	560893	NZ_CP017599.1	473	0.5864661654135338	0.770949720670391	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_269	932	179	3.9e-05	22.7	320639	323434	NZ_CP017599.1	269	0.11051502145922747	0.5865921787709497	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_6053	171	179	0.0081	15.1	7789767	7790279	NZ_CP017599.1	6053	0.32748538011695905	0.3575418994413408	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_3331	511	179	0.019	13.9	4252355	4253887	NZ_CP017599.1	3331	0.2191780821917808	0.6480446927374302	-1
Csn2_6_CAS-II-A	NZ_CP017599.1_6872	752	309	0.067	11.2	8819114	8821369	NZ_CP017599.1	6872	0.08244680851063829	0.19741100323624594	1
Cas9_1_II	NZ_CP017599.1_5174	420	1120	0.0028	14.5	6668999	6670258	NZ_CP017599.1	5174	0.28809523809523807	0.10625	1
Cas9_1_II	NZ_CP017599.1_7079	421	1120	0.011000000000000001	12.6	9110272	9111534	NZ_CP017599.1	7079	0.2327790973871734	0.09017857142857143	1
Cas9_1_II	NZ_CP017599.1_5890	424	1120	0.018000000000000002	11.9	7578501	7579772	NZ_CP017599.1	5890	0.24764150943396226	0.10267857142857142	-1
Cas9_1_II	NZ_CP017599.1_3698	419	1120	0.025	11.4	4725544	4726800	NZ_CP017599.1	3698	0.22673031026252982	0.0875	1
Cas9_1_II	NZ_CP017599.1_5875	424	1120	0.03	11.1	7559290	7560561	NZ_CP017599.1	5875	0.2688679245283019	0.10535714285714286	1
Cas9_1_II	NZ_CP017599.1_4085	433	1120	0.08	9.7	5303776	5305074	NZ_CP017599.1	4085	0.21247113163972287	0.08392857142857142	1
Cas9_1_II	NZ_CP017599.1_2280	425	1120	0.14	8.9	2859255	2860529	NZ_CP017599.1	2280	0.27058823529411763	0.08035714285714286	1
Cas9_1_II	NZ_CP017599.1_1428	420	1120	0.29	7.8	1793732	1794991	NZ_CP017599.1	1428	0.28809523809523807	0.0875	-1
Cas9_1_II	NZ_CP017599.1_2113	425	1120	0.51	7.0	2658729	2660003	NZ_CP017599.1	2113	0.24705882352941178	0.10357142857142858	1
Cas9_1_II	NZ_CP017599.1_5496	421	1120	4.8	3.8	7095030	7096292	NZ_CP017599.1	5496	0.23040380047505937	0.08928571428571429	-1
Cas5_1_CAS-I-B	NZ_CP017599.1_4790	424	276	0.018000000000000002	13.0	6218586	6219857	NZ_CP017599.1	4790	0.19103773584905662	0.3079710144927536	1
Cas12e_1_CAS-V-E	NZ_CP017599.1_6686	418	986	0.004	13.7	8599423	8600676	NZ_CP017599.1	6686	0.09090909090909091	0.037525354969574036	1
Csx3_2_CAS-I-III	NZ_CP017599.1_4273	464	277	2.7000000000000002e-05	22.2	5551754	5553145	NZ_CP017599.1	4273	0.1314655172413793	0.1407942238267148	1
Csx3_2_CAS-I-III	NZ_CP017599.1_268	724	277	0.00021	19.2	318205	320376	NZ_CP017599.1	268	0.08287292817679558	0.21299638989169675	1
Csx3_2_CAS-I-III	NZ_CP017599.1_1156	331	277	0.0062	14.4	1456282	1457274	NZ_CP017599.1	1156	0.19637462235649547	0.22021660649819494	1
Csx3_2_CAS-I-III	NZ_CP017599.1_5943	340	277	0.021	12.7	7645442	7646461	NZ_CP017599.1	5943	0.11176470588235295	0.1371841155234657	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_5987	553	277	0.023	12.5	7713034	7714692	NZ_CP017599.1	5987	0.05605786618444846	0.11191335740072202	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_4163	711	277	0.028999999999999998	12.2	5398472	5400604	NZ_CP017599.1	4163	0.05907172995780591	0.15162454873646208	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_4161	737	277	0.042	11.7	5395459	5397669	NZ_CP017599.1	4161	0.05698778833107191	0.15162454873646208	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_1342	1042	277	0.045	11.6	1682323	1685448	NZ_CP017599.1	1342	0.0345489443378119	0.1371841155234657	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_2491	201	277	0.051	11.4	3140781	3141383	NZ_CP017599.1	2491	0.13432835820895522	0.09747292418772563	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_6073	289	277	0.053	11.4	7809141	7810007	NZ_CP017599.1	6073	0.1384083044982699	0.1299638989169675	-1
Csx3_2_CAS-I-III	NZ_CP017599.1_1568	735	277	0.069	11.0	1946654	1948858	NZ_CP017599.1	1568	0.10748299319727891	0.13357400722021662	-1
Cas6_1_CAS-I-II-III-IV-V-VI	NZ_CP017599.1_1201	862	194	0.0056	15.5	1513267	1515852	NZ_CP017599.1	1201	0.11600928074245939	0.520618556701031	-1
Cmr3gr5_0_CAS-III-B-III-C	NZ_CP017599.1_1771	259	373	0.037000000000000005	11.5	2185564	2186340	NZ_CP017599.1	1771	0.3552123552123552	0.24396782841823056	1
Csf4_2_IVA1	NZ_CP017599.1_4245	648	526	0.019	12.4	5517285	5519228	NZ_CP017599.1	4245	0.08179012345679013	0.09885931558935361	-1
