Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_PKGD01000102.1	NZ_PKGD01000102.1@1	7465	9432	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[9]	['6.60e-16']	[0.716]	[0.572]
NZ_PKGD01000466.1	NZ_PKGD01000466.1@1	396	1304	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'RT_0_CAS-I-II-III-IV-V-VI']	[1, 2]	['1.50e-31', '4.40e-13']	[0.91, 0.692]	[0.57, 0.3]
NZ_PKGD01000450.1	NZ_PKGD01000450.1@1	641	2045	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'RT_0_CAS-III-AM-III-B']	[2, 3]	['1.30e-21', '2.90e-23']	[0.58, 0.478]	[0.389, 0.419]
NZ_PKGD01000837.1	NZ_PKGD01000837.1@1	165	1301	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['5.90e-03']	[0.319]	[0.373]
NZ_PKGD01000002.1	NZ_PKGD01000002.1@1	1129	2313	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['3.60e-09']	[0.324]	[0.373]
NZ_PKGD01000172.1	NZ_PKGD01000172.1@1	5501	6028	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[7]	['3.90e-21']	[0.608]	[0.352]
NZ_PKGD01000220.1	NZ_PKGD01000220.1@1	4965	6551	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[7]	['1.80e-53']	[0.476]	[0.846]
NZ_PKGD01000140.1	NZ_PKGD01000140.1@1	433	2367	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[2]	['1.30e-13']	[0.38]	[0.694]
NZ_PKGD01000321.1	NZ_PKGD01000321.1@1	890	1315	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2]	['4.80e-23']	[0.915]	[0.419]
NZ_PKGD01000489.1	NZ_PKGD01000489.1@1	1197	1622	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3]	['4.80e-23']	[0.915]	[0.419]
NZ_PKGD01000010.1	NZ_PKGD01000010.1@1	5906	6970	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5]	['9.20e-05']	[0.451]	[0.451]
NZ_PKGD01000260.1	NZ_PKGD01000260.1@1	1587	2807	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['1.10e-12']	[0.317]	[0.426]
