Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx3_3_CAS-I-III	NZ_PKGD01000170.1_6	56	79	0.0081	14.3	7812	7979	NZ_PKGD01000170.1	6	0.42857142857142855	0.3037974683544304	1
Csx3_3_CAS-I-III	NZ_PKGD01000453.1_1	425	79	0.016	13.3	1	1275	NZ_PKGD01000453.1	1	0.19058823529411764	0.8354430379746836	-1
Cas8b1_10_CAS-I-B	NZ_PKGD01000259.1_1	185	567	0.0066	13.3	65	619	NZ_PKGD01000259.1	1	0.41621621621621624	0.14109347442680775	-1
Cas8b1_3_CAS-I-B	NZ_PKGD01000213.1_6	78	594	0.025	11.5	4542	4775	NZ_PKGD01000213.1	6	0.7948717948717948	0.11784511784511785	1
Csx1_20_CAS-III	NZ_PKGD01000029.1_6	440	379	3.2999999999999994e-63	212.0	8953	10272	NZ_PKGD01000029.1	6	0.9068181818181819	0.9841688654353562	1
Csx1_20_CAS-III	NZ_PKGD01000029.1_7	367	379	0.021	11.9	10334	11434	NZ_PKGD01000029.1	7	0.24795640326975477	0.24274406332453827	1
Csx1_20_CAS-III	NZ_PKGD01000852.1_3	325	379	0.03	11.3	1109	2083	NZ_PKGD01000852.1	3	0.1753846153846154	0.14775725593667546	1
Csx1_20_CAS-III	NZ_PKGD01000615.1_1	325	379	0.04	10.9	3	977	NZ_PKGD01000615.1	1	0.16615384615384615	0.14511873350923482	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_PKGD01000058.1_4	1071	179	3.9e-15	54.7	2817	6029	NZ_PKGD01000058.1	4	0.1895424836601307	0.9888268156424581	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_PKGD01000058.1_5	885	179	2.6e-06	26.0	6068	8722	NZ_PKGD01000058.1	5	0.1977401129943503	0.8994413407821229	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_PKGD01000739.1_1	189	179	0.03	12.7	2	568	NZ_PKGD01000739.1	1	0.37566137566137564	0.39106145251396646	-1
gRAMP_0_CAS-III-E	NZ_PKGD01000029.1_5	806	1610	1.7e-32	110.2	6451	8868	NZ_PKGD01000029.1	5	0.5297766749379652	0.24347826086956523	1
gRAMP_0_CAS-III-E	NZ_PKGD01000029.1_3	516	1610	3.8e-18	62.7	4329	5876	NZ_PKGD01000029.1	3	0.6182170542635659	0.1956521739130435	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000029.1_3	516	199	1.1e-33	115.4	4329	5876	NZ_PKGD01000029.1	3	0.7151162790697675	0.9899497487437185	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000029.1_5	806	199	5.5e-33	113.2	6451	8868	NZ_PKGD01000029.1	5	0.6550868486352357	1.0	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000029.1_2	812	199	1e-16	60.1	1890	4325	NZ_PKGD01000029.1	2	0.42857142857142855	0.9949748743718593	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000068.1_5	315	199	2.3e-16	58.9	4810	5754	NZ_PKGD01000068.1	5	0.7746031746031746	0.9949748743718593	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000132.1_3	263	199	7.8e-14	50.7	565	1353	NZ_PKGD01000132.1	3	0.9467680608365019	0.9899497487437185	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000132.1_6	504	199	4.9e-12	44.8	2222	3733	NZ_PKGD01000132.1	6	0.3055555555555556	0.39195979899497485	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000068.1_7	424	199	2e-10	39.5	6816	8087	NZ_PKGD01000068.1	7	0.5636792452830188	0.5025125628140703	1
Csm3gr7_12_CAS-III-A-III-D	NZ_PKGD01000132.1_2	75	199	2.2999999999999998e-08	32.8	231	455	NZ_PKGD01000132.1	2	0.6	0.22613065326633167	1
Cas9_1_II	NZ_PKGD01000510.1_2	531	1120	0.0017	14.7	1608	3200	NZ_PKGD01000510.1	2	0.08662900188323917	0.045535714285714284	1
Cas9_1_II	NZ_PKGD01000920.1_1	145	1120	0.0022	14.3	490	924	NZ_PKGD01000920.1	1	0.32413793103448274	0.04642857142857143	-1
Cas9_1_II	NZ_PKGD01000379.1_1	396	1120	0.0029	14.0	1	1188	NZ_PKGD01000379.1	1	0.11868686868686869	0.04642857142857143	1
Cas9_1_II	NZ_PKGD01000242.1_6	164	1120	0.0032	13.8	6017	6508	NZ_PKGD01000242.1	6	0.2804878048780488	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000488.1_4	174	1120	0.0043	13.4	2811	3332	NZ_PKGD01000488.1	4	0.26436781609195403	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000466.1_3	185	1120	0.0048	13.2	1420	1974	NZ_PKGD01000466.1	3	0.2594594594594595	0.04732142857142857	1
Cas9_1_II	NZ_PKGD01000110.1_1	508	1120	0.0068	12.7	3	1526	NZ_PKGD01000110.1	1	0.09055118110236221	0.045535714285714284	1
Cas9_1_II	NZ_PKGD01000321.1_1	163	1120	0.01	12.1	125	613	NZ_PKGD01000321.1	1	0.2822085889570552	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000489.1_2	163	1120	0.01	12.1	432	920	NZ_PKGD01000489.1	2	0.2822085889570552	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000609.1_3	163	1120	0.012	11.9	2233	2721	NZ_PKGD01000609.1	3	0.2822085889570552	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000220.1_7	529	1120	0.017	11.4	4965	6551	NZ_PKGD01000220.1	7	0.08695652173913043	0.045535714285714284	1
Cas9_1_II	NZ_PKGD01000294.1_2	396	1120	0.022000000000000002	11.0	848	2035	NZ_PKGD01000294.1	2	0.11616161616161616	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000287.1_7	145	1120	0.033	10.4	5425	5859	NZ_PKGD01000287.1	7	0.31724137931034485	0.045535714285714284	-1
Cas9_1_II	NZ_PKGD01000264.1_2	347	1120	0.25	7.5	534	1574	NZ_PKGD01000264.1	2	0.44668587896253603	0.1125	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000132.1_6	504	218	4.2e-16	57.5	2222	3733	NZ_PKGD01000132.1	6	0.2896825396825397	0.7155963302752294	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000029.1_3	516	218	1.2e-07	29.9	4329	5876	NZ_PKGD01000029.1	3	0.17635658914728683	0.25229357798165136	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000068.1_5	315	218	2.5e-06	25.5	4810	5754	NZ_PKGD01000068.1	5	0.346031746031746	0.46788990825688076	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000068.1_7	424	218	0.001	17.0	6816	8087	NZ_PKGD01000068.1	7	0.17452830188679244	0.3211009174311927	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000029.1_5	806	218	0.013999999999999999	13.3	6451	8868	NZ_PKGD01000029.1	5	0.0794044665012407	0.2798165137614679	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000029.1_2	812	218	0.035	12.0	1890	4325	NZ_PKGD01000029.1	2	0.06157635467980296	0.22935779816513763	1
Cmr6gr7_1_CAS-III-B-III-C	NZ_PKGD01000132.1_2	75	218	0.039	11.8	231	455	NZ_PKGD01000132.1	2	0.3466666666666667	0.11926605504587157	1
Cas6f_1_CAS-I-II-III-IV-V-VI	NZ_PKGD01000214.1_3	638	185	0.054000000000000006	11.8	2213	4126	NZ_PKGD01000214.1	3	0.13793103448275862	0.3783783783783784	-1
