Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx3_3_CAS-I-III	NZ_CAFN01000472.1_1	164	79	1.3e-36	122.7	1	492	NZ_CAFN01000472.1	1	0.4634146341463415	0.9746835443037974	-1
Csx3_3_CAS-I-III	NZ_CAFN01000157.1_10	310	79	4.0999999999999995e-36	121.1	22166	23095	NZ_CAFN01000157.1	10	0.24516129032258063	0.9746835443037974	1
Cas8b1_10_CAS-I-B	NZ_CAFN01000678.1_9	185	567	0.0073	13.3	8400	8954	NZ_CAFN01000678.1	9	0.41621621621621624	0.14109347442680775	1
Csx1_20_CAS-III	NZ_CAFN01000666.1_1	168	379	0.011000000000000001	12.9	1	504	NZ_CAFN01000666.1	1	0.3392857142857143	0.14775725593667546	-1
Csx1_20_CAS-III	NZ_CAFN01000425.1_1	318	379	0.03	11.5	3	956	NZ_CAFN01000425.1	1	0.1792452830188679	0.14775725593667546	1
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_CAFN01000017.1_148	349	130	0.046	12.2	167755	168801	NZ_CAFN01000017.1	148	0.12607449856733524	0.3153846153846154	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CAFN01000001.1_118	1071	179	4.4e-15	54.7	123842	127054	NZ_CAFN01000001.1	118	0.1895424836601307	0.9888268156424581	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CAFN01000001.1_117	884	179	2.8999999999999998e-06	26.0	121152	123803	NZ_CAFN01000001.1	117	0.19796380090497737	0.8994413407821229	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CAFN01000590.1_53	228	179	0.038	12.6	58777	59460	NZ_CAFN01000590.1	53	0.3157894736842105	0.39664804469273746	1
Cas3-Cas2_0_IF	NZ_CAFN01000001.1_25	315	1110	0.006999999999999999	12.5	29226	30170	NZ_CAFN01000001.1	25	0.2857142857142857	0.04864864864864865	-1
gRAMP_0_CAS-III-E	NZ_CAFN01000057.1_8	336	1610	3.4000000000000004e-18	63.0	4439	5446	NZ_CAFN01000057.1	8	0.7738095238095238	0.15962732919254657	-1
gRAMP_0_CAS-III-E	NZ_CAFN01000057.1_12	296	1610	1.6e-09	34.2	7150	8037	NZ_CAFN01000057.1	12	0.543918918918919	0.09751552795031056	-1
gRAMP_0_CAS-III-E	NZ_CAFN01000057.1_16	240	1610	1.1e-05	21.5	10001	10720	NZ_CAFN01000057.1	16	0.4666666666666667	0.07267080745341616	-1
gRAMP_0_CAS-III-E	NZ_CAFN01000057.1_10	315	1610	0.011000000000000001	11.7	5889	6833	NZ_CAFN01000057.1	10	0.38095238095238093	0.07888198757763976	-1
Csn2_6_CAS-II-A	NZ_CAFN01000017.1_124	531	309	0.067	10.8	142309	143901	NZ_CAFN01000017.1	124	0.1638418079096045	0.2815533980582524	1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_10	315	199	7.300000000000001e-27	93.4	5889	6833	NZ_CAFN01000057.1	10	0.6253968253968254	0.9748743718592965	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_12	296	199	2.6e-25	88.3	7150	8037	NZ_CAFN01000057.1	12	0.7195945945945946	0.9949748743718593	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_16	240	199	4.400000000000001e-19	67.9	10001	10720	NZ_CAFN01000057.1	16	0.8291666666666667	0.9899497487437185	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_8	336	199	2.3e-18	65.6	4439	5446	NZ_CAFN01000057.1	8	0.625	0.9899497487437185	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_37	315	199	2.7999999999999996e-16	58.8	38230	39174	NZ_CAFN01000057.1	37	0.7746031746031746	0.9949748743718593	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000021.1_35	263	199	1.9999999999999998e-15	56.0	33539	34327	NZ_CAFN01000021.1	35	0.9467680608365019	0.9899497487437185	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000021.1_33	655	199	6.4e-13	47.8	31159	33123	NZ_CAFN01000021.1	33	0.2549618320610687	0.4824120603015075	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_35	424	199	2.4e-10	39.4	35897	37168	NZ_CAFN01000057.1	35	0.5636792452830188	0.5025125628140703	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000021.1_36	75	199	5.9000000000000006e-08	31.6	34437	34661	NZ_CAFN01000021.1	36	0.6	0.22613065326633167	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CAFN01000057.1_15	404	199	1e-07	30.9	8793	10004	NZ_CAFN01000057.1	15	0.6485148514851485	0.9949748743718593	-1
Cas9_1_II	NZ_CAFN01000445.1_6	191	1120	0.00042	16.9	5725	6297	NZ_CAFN01000445.1	6	0.24083769633507854	0.045535714285714284	-1
Cas9_1_II	NZ_CAFN01000562.1_1	206	1120	0.00047999999999999996	16.7	3	620	NZ_CAFN01000562.1	1	0.22330097087378642	0.045535714285714284	1
Cas9_1_II	NZ_CAFN01000689.1_15	397	1120	0.0032	14.0	14296	15486	NZ_CAFN01000689.1	15	0.11838790931989925	0.04642857142857143	1
Cas9_1_II	NZ_CAFN01000148.1_1	592	1120	0.0035	13.8	1	1776	NZ_CAFN01000148.1	1	0.0777027027027027	0.045535714285714284	-1
Cas9_1_II	NZ_CAFN01000052.1_33	174	1120	0.004	13.6	32943	33464	NZ_CAFN01000052.1	33	0.26436781609195403	0.045535714285714284	-1
Cas9_1_II	NZ_CAFN01000368.1_3	185	1120	0.0054	13.2	3022	3576	NZ_CAFN01000368.1	3	0.2594594594594595	0.04732142857142857	1
Cas9_1_II	NZ_CAFN01000090.1_2	163	1120	0.0069	12.8	1449	1937	NZ_CAFN01000090.1	2	0.2883435582822086	0.04642857142857143	1
