Contig	Start	End	Strand	Pos
NZ_CAFN01000692.1	45	341	1	1
NZ_CAFN01000692.1	787	1950	1	2
NZ_CAFN01000692.1	1913	2353	-1	3
NZ_CAFN01000692.1	2417	2671	1	4
NZ_CAFN01000692.1	2668	3075	1	5
NZ_CAFN01000692.1	3090	3254	1	6
NZ_CAFN01000692.1	3288	3431	1	7
NZ_CAFN01000692.1	3461	3691	1	8
NZ_CAFN01000692.1	3688	4116	1	9
NZ_CAFN01000692.1	4217	5197	-1	10
NZ_CAFN01000692.1	5708	6835	1	11
NZ_CAFN01000692.1	6832	7686	1	12
NZ_CAFN01000692.1	8005	8148	1	13
NZ_CAFN01000692.1	8158	8412	1	14
NZ_CAFN01000692.1	8427	8756	1	15
NZ_CAFN01000691.1	1	507	-1	1
NZ_CAFN01000691.1	853	1116	1	2
NZ_CAFN01000691.1	1113	1592	1	3
NZ_CAFN01000691.1	1805	3235	1	4
NZ_CAFN01000691.1	3575	3730	-1	5
NZ_CAFN01000691.1	3831	7217	1	6
NZ_CAFN01000691.1	7199	7663	1	7
NZ_CAFN01000690.1	596	2053	1	1
NZ_CAFN01000690.1	2073	2378	1	2
NZ_CAFN01000690.1	2378	2512	1	3
NZ_CAFN01000690.1	2596	2838	1	4
NZ_CAFN01000690.1	2835	3308	1	5
NZ_CAFN01000690.1	3308	3742	1	6
NZ_CAFN01000690.1	3788	3928	1	7
NZ_CAFN01000690.1	3925	5439	1	8
NZ_CAFN01000689.1	3	71	1	1
NZ_CAFN01000689.1	104	379	1	2
NZ_CAFN01000689.1	665	895	1	3
NZ_CAFN01000689.1	892	1161	1	4
NZ_CAFN01000689.1	1788	2027	1	5
NZ_CAFN01000689.1	2037	2177	1	6
NZ_CAFN01000689.1	2410	3060	-1	7
NZ_CAFN01000689.1	3308	4243	-1	8
NZ_CAFN01000689.1	4338	7142	1	9
NZ_CAFN01000689.1	7364	8284	-1	10
NZ_CAFN01000689.1	8467	9588	1	11
NZ_CAFN01000689.1	9674	10003	1	12
NZ_CAFN01000689.1	10190	11329	-1	13
NZ_CAFN01000689.1	11897	12124	-1	14
NZ_CAFN01000689.1	14296	15486	1	15
NZ_CAFN01000689.1	15789	16265	1	16
NZ_CAFN01000689.1	16341	16640	-1	17
NZ_CAFN01000689.1	16785	18878	-1	18
NZ_CAFN01000689.1	18951	19136	1	19
NZ_CAFN01000689.1	19210	19662	1	20
NZ_CAFN01000689.1	19733	20371	-1	21
NZ_CAFN01000689.1	20447	21742	1	22
NZ_CAFN01000689.1	21774	22307	1	23
NZ_CAFN01000689.1	22310	22711	1	24
NZ_CAFN01000689.1	22883	23890	1	25
NZ_CAFN01000689.1	23926	25200	1	26
NZ_CAFN01000689.1	25260	25628	-1	27
NZ_CAFN01000689.1	25659	26606	-1	28
NZ_CAFN01000689.1	26648	27472	-1	29
NZ_CAFN01000689.1	28512	29594	-1	30
NZ_CAFN01000689.1	29667	30557	-1	31
NZ_CAFN01000689.1	30720	31055	-1	32
NZ_CAFN01000689.1	31237	32229	-1	33
NZ_CAFN01000689.1	32318	32902	-1	34
NZ_CAFN01000688.1	636	923	-1	1
NZ_CAFN01000688.1	1301	4900	-1	2
NZ_CAFN01000688.1	5027	5131	1	3
NZ_CAFN01000688.1	5160	5792	1	4
NZ_CAFN01000688.1	6011	6217	-1	5
NZ_CAFN01000687.1	340	555	-1	1
NZ_CAFN01000687.1	775	900	1	2
NZ_CAFN01000687.1	964	1344	-1	3
NZ_CAFN01000687.1	1364	2776	-1	4
NZ_CAFN01000687.1	2766	6014	-1	5
NZ_CAFN01000687.1	6079	7455	-1	6
NZ_CAFN01000687.1	7681	8211	-1	7
NZ_CAFN01000687.1	8204	8923	-1	8
NZ_CAFN01000687.1	8973	9986	1	9
NZ_CAFN01000687.1	9972	11135	-1	10
NZ_CAFN01000686.1	358	840	-1	1
NZ_CAFN01000686.1	874	1680	-1	2
NZ_CAFN01000686.1	1902	6542	1	3
NZ_CAFN01000686.1	7525	11133	-1	4
NZ_CAFN01000686.1	11238	12620	1	5
NZ_CAFN01000686.1	12821	14299	1	6
NZ_CAFN01000686.1	14579	15745	1	7
NZ_CAFN01000686.1	15742	16338	1	8
NZ_CAFN01000686.1	16462	17538	1	9
NZ_CAFN01000686.1	17549	18280	-1	10
NZ_CAFN01000686.1	18488	19882	1	11
