Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_FO818640.1	NZ_FO818640.1@91	4829334	4832585	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[4384]	['1.10e-07']	[0.363]	[0.369]
NZ_FO818640.1	NZ_FO818640.1@71	4077094	4077504	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3695]	['6.00e-22']	[0.854]	[0.409]
NZ_FO818640.1	NZ_FO818640.1@24	1308820	1315485	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[1199]	['2.70e-217']	[0.72]	[0.42]
NZ_FO818640.1	NZ_FO818640.1@47	2728433	2730805	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[2449]	['9.20e-10']	[0.468]	[0.43]
NZ_FO818640.1	NZ_FO818640.1@101	5532381	5535656	False	0%	0%	I-C	1.0	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[5060]	['4.20e-08']	[0.364]	[0.309]
NZ_FO818640.1	NZ_FO818640.1@57	3413514	3414137	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[3061]	['1.60e-04']	[0.399]	[0.487]
NZ_FO818640.1	NZ_FO818640.1@2	60924	64037	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[63]	['3.20e-36']	[0.412]	[0.383]
NZ_FO818640.1	NZ_FO818640.1@87	4694734	4699554	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[4256]	['1.80e-17']	[0.425]	[0.621]
NZ_FO818640.1	NZ_FO818640.1@50	2913261	2914370	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2605]	['1.80e-09']	[0.797]	[0.849]
NZ_FO818640.1	NZ_FO818640.1@73	4132133	4133152	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3743]	['1.10e-05']	[0.321]	[0.356]
NZ_FO818640.1	NZ_FO818640.1@64	3677488	3679110	False	0%	NA	III-B	1.0	['CorA_1_CAS-III-B']	[3311]	['4.60e-06']	[0.569]	[0.576]
NZ_FO818640.1	NZ_FO818640.1@52	2974571	2974975	False	17%	NA	III-D	4.0	['Csm3_0_IIID']	[2666]	['2.50e-03']	[0.637]	[0.494]
NZ_FO818640.1	NZ_FO818640.1@33	1647816	1648910	False	0%	NA	III-C	1.0	['AbiEii_2_CAS-III-C']	[1491]	['1.00e-11']	[0.496]	[0.391]
NZ_FO818640.1	NZ_FO818640.1@86	4623543	4630039	False	0%	NA	III-B	2.0	['RT_0_CAS-III-AM-III-B', 'TPR_0_CAS-III-B']	[4196, 4200]	['2.70e-53', '1.00e-35']	[0.802, 0.761]	[0.93, 0.418]
NZ_FO818640.1	NZ_FO818640.1@80	4436931	4437806	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4016]	['7.80e-22']	[0.408]	[0.369]
NZ_FO818640.1	NZ_FO818640.1@32	1552855	1555332	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[1420]	['2.00e-44']	[0.395]	[0.473]
NZ_FO818640.1	NZ_FO818640.1@98	5188581	5190089	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4731]	['6.50e-39']	[0.479]	[0.779]
NZ_FO818640.1	NZ_FO818640.1@99	5252875	5254824	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[4788]	['1.40e-13']	[0.375]	[0.691]
NZ_FO818640.1	NZ_FO818640.1@23	1285993	1286463	False	0%	0%	I-A	0.0	['PD_DExK_0_CAS-I-II-III-IV-V-VI']	[1176]	['4.80e-24']	[0.459]	[0.453]
NZ_FO818640.1	NZ_FO818640.1@31	1485496	1486900	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'RT_0_CAS-III-AM-III-B']	[1352, 1353]	['3.20e-23', '1.40e-21']	[0.478, 0.58]	[0.419, 0.389]
NZ_FO818640.1	NZ_FO818640.1@103	5625180	5626583	False	0%	33%	II-A	3.0	['Csn2_7_CAS-II-A']	[5139]	['2.60e-04']	[0.346]	[0.468]
NZ_FO818640.1	NZ_FO818640.1@88	4708643	4710235	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[4264]	['2.60e-08']	[0.446]	[0.318]
NZ_FO818640.1	NZ_FO818640.1@90	4818575	4819759	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4374]	['3.90e-09']	[0.324]	[0.373]
NZ_FO818640.1	NZ_FO818640.1@65	3705239	3706096	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3334]	['7.60e-52']	[0.724]	[0.678]
NZ_FO818640.1	NZ_FO818640.1@26	1372327	1372965	False	0%	0%	I-C	1.0	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[1253]	['2.50e-04']	[0.554]	[0.354]
NZ_FO818640.1	NZ_FO818640.1@7	437344	437781	False	0%	NA	III-B	1.0	['CasR_0_CAS-III-B-III-D']	[398]	['2.00e-03']	[0.603]	[0.361]
NZ_FO818640.1	NZ_FO818640.1@75	4237048	4238241	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3829]	['8.90e-05']	[0.352]	[0.507]
NZ_FO818640.1	NZ_FO818640.1@78	4338552	4344470	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'CasR_0_CAS-I-II-III-IV-V-VI']	[3903, 3907]	['2.50e-04', '7.40e-03']	[0.339, 0.32]	[0.306, 0.404]
NZ_FO818640.1	NZ_FO818640.1@20	1156735	1158030	False	0%	NA	III-A	1.0	['TPR_0_CAS-III-A']	[1017]	['4.50e-03']	[0.421]	[0.43]
NZ_FO818640.1	NZ_FO818640.1@100	5400794	5406123	False	14%	0%	I-A	2.0	['Cas6_8_CAS-I-II-III-IV-V-VI', 'RT_0_CAS-III-AM-III-B']	[4917, 4920]	['2.40e-51', '1.70e-55']	[0.696, 0.454]	[0.931, 0.732]
NZ_FO818640.1	NZ_FO818640.1@40	2127173	2128609	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1927]	['1.50e-61']	[0.555]	[0.906]
NZ_FO818640.1	NZ_FO818640.1@49	2880350	2881678	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2580]	['1.20e-53']	[0.508]	[0.735]
NZ_FO818640.1	NZ_FO818640.1@18	952523	954652	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[833]	['2.20e-27']	[0.358]	[0.395]
NZ_FO818640.1	NZ_FO818640.1@41	2201815	2202636	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[1992]	['1.20e-21']	[0.697]	[0.751]
NZ_FO818640.1	NZ_FO818640.1@109	6182935	6184746	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[5667]	['6.80e-54']	[0.412]	[0.836]
NZ_FO818640.1	NZ_FO818640.1@61	3543257	3544225	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3177]	['1.50e-20']	[0.656]	[0.373]
