Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_CP011456.1	NZ_CP011456.1@61	2868051	2873207	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[2523]	['8.30e-67']	[0.438]	[0.648]
NZ_CP011456.1	NZ_CP011456.1@46	2141495	2143069	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1934]	['8.40e-51']	[0.514]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@6	438680	440251	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[362]	['9.20e-50']	[0.513]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@99	4964922	4966007	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4453]	['9.10e-50']	[0.74]	[0.862]
NZ_CP011456.1	NZ_CP011456.1@113	5541662	5543206	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[5018]	['4.30e-51']	[0.505]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@49	2395901	2396617	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2105]	['6.50e-06']	[0.377]	[0.31]
NZ_CP011456.1	NZ_CP011456.1@33	1653165	1654349	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1457]	['9.80e-12']	[0.813]	[0.842]
NZ_CP011456.1	NZ_CP011456.1@34	1691200	1691826	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[1499]	['2.80e-35']	[0.775]	[0.847]
NZ_CP011456.1	NZ_CP011456.1@67	3209096	3209722	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[2832]	['3.80e-04']	[0.531]	[0.586]
NZ_CP011456.1	NZ_CP011456.1@94	4651517	4653142	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[4170]	['9.40e-11']	[0.391]	[0.699]
NZ_CP011456.1	NZ_CP011456.1@84	4101272	4101610	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3643]	['1.60e-18']	[0.655]	[0.678]
NZ_CP011456.1	NZ_CP011456.1@78	3933340	3934065	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3482]	['7.60e-07']	[0.529]	[0.433]
NZ_CP011456.1	NZ_CP011456.1@24	1223809	1224582	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1032]	['2.40e-07']	[0.391]	[0.349]
NZ_CP011456.1	NZ_CP011456.1@101	5035634	5036344	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[4526]	['6.80e-03']	[0.662]	[0.313]
NZ_CP011456.1	NZ_CP011456.1@12	608230	609741	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[506]	['1.10e-51']	[0.494]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@48	2336372	2337100	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2060]	['8.40e-06']	[0.457]	[0.387]
NZ_CP011456.1	NZ_CP011456.1@39	1832893	1834023	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[1626]	['1.20e-06']	[0.613]	[0.404]
NZ_CP011456.1	NZ_CP011456.1@91	4512454	4512696	False	0%	NA	III-A	1.0	['Csx21_0_CAS-III-A-III-D']	[4052]	['2.00e-03']	[0.778]	[0.314]
NZ_CP011456.1	NZ_CP011456.1@65	3069886	3071229	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[2704]	['7.00e-06']	[0.473]	[0.603]
NZ_CP011456.1	NZ_CP011456.1@43	2038163	2039674	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1846]	['1.10e-51']	[0.494]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@106	5259136	5260710	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[4727]	['8.30e-49']	[0.514]	[0.872]
NZ_CP011456.1	NZ_CP011456.1@1	193161	193922	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[148]	['1.40e-03']	[0.378]	[0.32]
NZ_CP011456.1	NZ_CP011456.1@10	566930	568411	False	14%	0%	I-A	1.0	['Cas3_0_I']	[464]	['4.00e-05']	[0.34]	[0.439]
NZ_CP011456.1	NZ_CP011456.1@31	1582933	1583535	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[1393]	['2.00e-64']	[0.985]	[0.956]
NZ_CP011456.1	NZ_CP011456.1@8	468544	470735	False	0%	NA	III-B	2.0	['TPR_0_CAS-III-B', 'AbiEii_0_CAS-III']	[384, 385]	['2.90e-08', '2.40e-04']	[0.659, 0.395]	[0.447, 0.313]
NZ_CP011456.1	NZ_CP011456.1@25	1242001	1242681	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[1050]	['1.90e-04']	[0.524]	[0.328]
NZ_CP011456.1	NZ_CP011456.1@72	3698765	3701413	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3285]	['7.20e-47']	[0.448]	[0.322]
NZ_CP011456.1	NZ_CP011456.1@15	648666	649688	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[535]	['4.60e-08']	[0.343]	[0.394]
NZ_CP011456.1	NZ_CP011456.1@93	4611061	4612968	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4131]	['3.00e-11']	[0.42]	[0.528]
NZ_CP011456.1	NZ_CP011456.1@79	3960883	3961263	False	0%	NA	III-A	1.0	['PEPT_D_0_CAS-III-A']	[3508]	['3.20e-03']	[0.701]	[0.867]
NZ_CP011456.1	NZ_CP011456.1@32	1597592	1598209	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[1404]	['1.40e-33']	[0.777]	[0.837]
NZ_CP011456.1	NZ_CP011456.1@20	909833	910531	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[747]	['6.40e-06']	[0.455]	[0.352]
NZ_CP011456.1	NZ_CP011456.1@3	259207	263418	False	0%	NA	III-B	2.0	['AbiEii_0_CAS-III', 'TPR_0_CAS-III-B']	[204, 206]	['2.00e-09', '2.30e-29']	[0.403, 0.507]	[0.507, 0.443]
NZ_CP011456.1	NZ_CP011456.1@98	4908810	4912786	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'PD_DExK_1_CAS-I-II-III-IV-V-VI']	[4402, 4406]	['8.40e-51', '5.00e-04']	[0.514, 0.636]	[0.872, 0.67]
