Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas5_3_CAS-I-B	NZ_CP011456.1_1610	162	174	1e-57	193.1	1817501	1817986	NZ_CP011456.1	1610	0.9506172839506173	0.8850574712643678	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_3177	218	179	1.5e-48	163.6	3591952	3592605	NZ_CP011456.1	3177	0.8073394495412844	0.994413407821229	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_3304	195	179	8.5e-35	118.8	3731760	3732344	NZ_CP011456.1	3304	0.8974358974358975	0.9888268156424581	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_375	269	179	3.7e-09	35.3	454134	454940	NZ_CP011456.1	375	0.5539033457249071	0.7486033519553073	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_1404	206	179	0.0002	19.8	1597592	1598209	NZ_CP011456.1	1404	0.2524271844660194	0.33519553072625696	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_1128	481	179	0.00031	19.2	1312993	1314435	NZ_CP011456.1	1128	0.2515592515592516	0.6536312849162011	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_3430	290	179	0.0007700000000000001	17.9	3863381	3864250	NZ_CP011456.1	3430	0.46551724137931033	0.6927374301675978	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_3402	126	179	0.0016	16.9	3834143	3834520	NZ_CP011456.1	3402	0.6825396825396826	0.5027932960893855	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CP011456.1_2496	910	179	0.0045	15.4	2834886	2837615	NZ_CP011456.1	2496	0.13406593406593406	0.6368715083798883	-1
Cas3-Cas2_0_IF	NZ_CP011456.1_3299	707	1110	0.0047	12.9	3723905	3726025	NZ_CP011456.1	3299	0.06930693069306931	0.044144144144144144	1
Csn2_6_CAS-II-A	NZ_CP011456.1_4470	139	309	0.0062	14.1	4979675	4980091	NZ_CP011456.1	4470	0.5755395683453237	0.27184466019417475	1
Csn2_3_CAS-II-A	NZ_CP011456.1_3862	347	219	0.042	11.8	4314261	4315301	NZ_CP011456.1	3862	0.19596541786743515	0.3150684931506849	-1
