Contig	Start	End	Strand	Pos
NC_019779.1	67	339	1	1
NC_019779.1	345	857	1	2
NC_019779.1	934	2130	-1	3
NC_019779.1	2156	3511	1	4
NC_019779.1	3481	4725	-1	5
NC_019779.1	5104	6363	1	6
NC_019779.1	6370	8985	-1	7
NC_019779.1	9447	10088	1	8
NC_019779.1	10569	11003	-1	9
NC_019779.1	11135	11605	1	10
NC_019779.1	11762	13744	-1	11
NC_019779.1	13773	14708	-1	12
NC_019779.1	14913	16415	1	13
NC_019779.1	16443	17657	1	14
NC_019779.1	17731	18444	1	15
NC_019779.1	18493	19134	1	16
NC_019779.1	19206	23831	1	17
NC_019779.1	23909	24472	1	18
NC_019779.1	24553	24675	1	19
NC_019779.1	24742	25089	1	20
NC_019779.1	25354	26022	1	21
NC_019779.1	26025	26762	1	22
NC_019779.1	26755	28110	1	23
NC_019779.1	28115	31420	1	24
NC_019779.1	31384	31620	1	25
NC_019779.1	31593	33077	1	26
NC_019779.1	33109	35628	1	27
NC_019779.1	35632	37716	1	28
NC_019779.1	38039	38260	1	29
NC_019779.1	38464	39279	-1	30
NC_019779.1	40079	41083	1	31
NC_019779.1	41206	41634	1	32
NC_019779.1	41766	42650	1	33
NC_019779.1	42769	44094	1	34
NC_019779.1	44130	45845	1	35
NC_019779.1	45842	46552	1	36
NC_019779.1	46660	47052	1	37
NC_019779.1	47089	47355	1	38
NC_019779.1	48115	49062	1	39
NC_019779.1	49141	50433	-1	40
NC_019779.1	50417	50602	-1	41
NC_019779.1	50696	51595	1	42
NC_019779.1	51963	52355	-1	43
NC_019779.1	52369	54498	-1	44
NC_019779.1	55014	55157	1	45
NC_019779.1	55179	55634	1	46
NC_019779.1	55638	56459	1	47
NC_019779.1	56497	58917	1	48
NC_019779.1	59009	59326	-1	49
NC_019779.1	59439	61058	-1	50
NC_019779.1	61371	61835	1	51
NC_019779.1	61870	62685	-1	52
NC_019779.1	62685	63011	-1	53
NC_019779.1	64049	64291	1	54
NC_019779.1	64785	65942	1	55
NC_019779.1	66024	66338	1	56
NC_019779.1	66491	66712	1	57
NC_019779.1	67027	67245	-1	58
NC_019779.1	67242	67499	-1	59
NC_019779.1	67871	68680	1	60
NC_019779.1	68979	69638	1	61
NC_019779.1	69798	70040	1	62
NC_019779.1	69982	70608	1	63
NC_019779.1	70768	71565	1	64
NC_019779.1	71912	72559	1	65
NC_019779.1	72719	73288	1	66
NC_019779.1	73321	73641	1	67
NC_019779.1	73878	75086	1	68
NC_019779.1	75119	75385	1	69
NC_019779.1	75586	76329	-1	70
NC_019779.1	76444	77565	-1	71
NC_019779.1	77736	82367	-1	72
NC_019779.1	82485	84617	-1	73
NC_019779.1	84962	85720	1	74
NC_019779.1	86011	87498	1	75
NC_019779.1	87509	87913	-1	76
NC_019779.1	87974	89455	1	77
NC_019779.1	90345	97964	1	78
NC_019779.1	98139	100721	1	79
NC_019779.1	100890	101573	1	80
NC_019779.1	101574	102437	-1	81
NC_019779.1	102611	103723	1	82
NC_019779.1	103720	104376	-1	83
NC_019779.1	104394	105167	-1	84
NC_019779.1	105186	105938	-1	85
NC_019779.1	106140	107171	1	86
NC_019779.1	107168	107887	-1	87
NC_019779.1	107992	108504	-1	88
NC_019779.1	108593	109687	1	89
NC_019779.1	109961	110134	1	90
NC_019779.1	110300	111553	1	91
NC_019779.1	111651	112943	1	92
NC_019779.1	113163	114158	-1	93
NC_019779.1	114457	115581	1	94
NC_019779.1	115586	116542	1	95
NC_019779.1	116607	117524	1	96
NC_019779.1	117692	118012	1	97
NC_019779.1	118213	119727	-1	98
NC_019779.1	120049	120870	1	99
NC_019779.1	120983	121630	1	100
NC_019779.1	121633	123459	1	101
NC_019779.1	123461	123763	-1	102
NC_019779.1	123910	125094	1	103
NC_019779.1	125151	125456	1	104
NC_019779.1	125510	126544	1	105
NC_019779.1	126564	127004	-1	106
NC_019779.1	126995	127243	-1	107
NC_019779.1	127363	129024	-1	108
NC_019779.1	129171	129992	-1	109
NC_019779.1	130210	131427	1	110
NC_019779.1	131431	132456	1	111
NC_019779.1	132460	133536	-1	112
NC_019779.1	133590	134681	1	113
NC_019779.1	134650	135003	-1	114
NC_019779.1	135049	135357	-1	115
NC_019779.1	135551	135799	1	116
NC_019779.1	135960	137474	1	117
NC_019779.1	137563	138531	1	118
NC_019779.1	138624	139706	-1	119
NC_019779.1	139927	143667	-1	120
NC_019779.1	143870	144073	-1	121
NC_019779.1	144599	144697	-1	122
NC_019779.1	145086	145322	1	123
NC_019779.1	145302	145538	-1	124
NC_019779.1	145528	145896	-1	125
NC_019779.1	146035	148044	1	126
NC_019779.1	148357	148872	1	127
NC_019779.1	149190	151616	1	128
NC_019779.1	151776	152570	1	129
NC_019779.1	152574	153056	-1	130
NC_019779.1	153075	153308	-1	131
NC_019779.1	153383	153949	1	132
NC_019779.1	154099	155241	1	133
NC_019779.1	155383	155721	-1	134
NC_019779.1	156555	157400	1	135
NC_019779.1	157406	158155	1	136
NC_019779.1	158193	158987	1	137
NC_019779.1	159056	161491	1	138
NC_019779.1	161548	161859	-1	139
NC_019779.1	161840	162130	-1	140
NC_019779.1	162185	162763	-1	141
NC_019779.1	162760	163536	-1	142
NC_019779.1	163700	164107	1	143
NC_019779.1	164251	165102	1	144
NC_019779.1	165127	165618	1	145
NC_019779.1	165671	166024	1	146
NC_019779.1	166030	166419	1	147
NC_019779.1	166619	167044	-1	148
NC_019779.1	167289	167924	1	149
NC_019779.1	168066	169352	1	150
NC_019779.1	169420	172287	-1	151
NC_019779.1	172450	172896	1	152
NC_019779.1	172847	173632	1	153
NC_019779.1	173694	173918	-1	154
NC_019779.1	174071	174505	-1	155
NC_019779.1	174609	174983	1	156
NC_019779.1	175010	175975	1	157
NC_019779.1	176027	176503	1	158
NC_019779.1	176491	176982	1	159
NC_019779.1	176966	178624	1	160
NC_019779.1	184047	186731	-1	161
NC_019779.1	186834	187229	-1	162
NC_019779.1	187648	187818	1	163
NC_019779.1	188492	190102	-1	164
NC_019779.1	190765	191496	-1	165
NC_019779.1	191889	192389	-1	166
NC_019779.1	192526	193551	-1	167
NC_019779.1	193857	194303	1	168
NC_019779.1	194608	196173	1	169
NC_019779.1	196175	197947	-1	170
NC_019779.1	198098	198511	-1	171
NC_019779.1	198498	199148	-1	172
NC_019779.1	199377	200588	1	173
NC_019779.1	200656	201666	1	174
NC_019779.1	201932	204406	1	175
NC_019779.1	204422	205651	1	176
NC_019779.1	205675	205995	1	177
NC_019779.1	206034	207413	-1	178
NC_019779.1	207793	208317	-1	179
NC_019779.1	208410	209117	1	180
NC_019779.1	209190	212450	-1	181
NC_019779.1	213346	213744	1	182
NC_019779.1	213751	214050	-1	183
NC_019779.1	214550	214966	1	184
NC_019779.1	215026	215469	1	185
NC_019779.1	215566	215976	1	186
NC_019779.1	216040	216906	-1	187
NC_019779.1	217130	217546	-1	188
NC_019779.1	217626	217982	-1	189
NC_019779.1	218120	218782	1	190
NC_019779.1	218893	219081	1	191
NC_019779.1	219188	219856	1	192
NC_019779.1	219902	220225	1	193
NC_019779.1	220234	221124	-1	194
NC_019779.1	221284	224574	1	195
NC_019779.1	224571	225812	-1	196
NC_019779.1	225820	226119	-1	197
NC_019779.1	226172	226477	-1	198
NC_019779.1	226732	227436	1	199
NC_019779.1	227724	227990	1	200
NC_019779.1	228114	228209	1	201
NC_019779.1	228206	231127	-1	202
NC_019779.1	231154	233367	-1	203
NC_019779.1	233377	234825	-1	204
NC_019779.1	234822	235238	-1	205
NC_019779.1	235238	235936	-1	206
NC_019779.1	236178	237905	-1	207
NC_019779.1	238413	239771	1	208
NC_019779.1	240126	241106	-1	209
NC_019779.1	241109	241552	-1	210
NC_019779.1	241957	242364	1	211
NC_019779.1	242753	243739	-1	212
NC_019779.1	244219	245613	-1	213
NC_019779.1	245684	246367	-1	214
NC_019779.1	246381	247103	-1	215
NC_019779.1	247541	248359	1	216
NC_019779.1	248400	249413	-1	217
NC_019779.1	249632	250792	1	218
NC_019779.1	250932	252107	1	219
NC_019779.1	252194	252640	1	220
NC_019779.1	252894	253886	1	221
NC_019779.1	253988	254974	1	222
NC_019779.1	255151	256860	-1	223
NC_019779.1	257092	258303	1	224
NC_019779.1	258427	258798	1	225
NC_019779.1	258811	259347	1	226
NC_019779.1	259477	262155	1	227
NC_019779.1	262161	262949	1	228
NC_019779.1	262989	263414	1	229
NC_019779.1	263479	264549	1	230
NC_019779.1	264642	265577	-1	231
NC_019779.1	265721	266248	1	232
NC_019779.1	266272	266799	1	233
NC_019779.1	266848	267384	-1	234
NC_019779.1	267389	268393	-1	235
NC_019779.1	268408	269034	-1	236
NC_019779.1	269177	274138	-1	237
NC_019779.1	274679	274900	1	238
NC_019779.1	274966	275556	1	239
NC_019779.1	275553	277610	-1	240
NC_019779.1	278331	278804	-1	241
NC_019779.1	278927	280237	-1	242
NC_019779.1	280315	280884	-1	243
NC_019779.1	280966	281502	-1	244
NC_019779.1	281639	282739	1	245
NC_019779.1	282843	284573	1	246
NC_019779.1	284662	285921	1	247
NC_019779.1	285907	287610	-1	248
NC_019779.1	287812	288387	1	249
NC_019779.1	288384	289331	-1	250
NC_019779.1	289437	291461	1	251
NC_019779.1	291599	292066	1	252
NC_019779.1	292257	293474	1	253
NC_019779.1	293617	294357	-1	254
NC_019779.1	294402	294833	-1	255
NC_019779.1	294840	296771	-1	256
NC_019779.1	296962	298299	1	257
