Contig	Start	End	Strand	Pos
NZ_CP011339.1	2	187	1	1
NZ_CP011339.1	169	405	1	2
NZ_CP011339.1	360	554	1	3
NZ_CP011339.1	654	1034	1	4
NZ_CP011339.1	1715	2020	1	5
NZ_CP011339.1	2011	2283	1	6
NZ_CP011339.1	2788	2985	-1	7
NZ_CP011339.1	3032	3283	-1	8
NZ_CP011339.1	3675	3776	-1	9
NZ_CP011339.1	4423	5745	-1	10
NZ_CP011339.1	6286	6621	1	11
NZ_CP011339.1	6625	7029	1	12
NZ_CP011339.1	7288	7398	1	13
NZ_CP011339.1	7418	7666	1	14
NZ_CP011339.1	8104	8427	1	15
NZ_CP011339.1	9483	11111	1	16
NZ_CP011339.1	11693	11890	1	17
NZ_CP011339.1	11932	12324	1	18
NZ_CP011339.1	12427	14007	1	19
NZ_CP011339.1	14004	14627	-1	20
NZ_CP011339.1	14859	15200	-1	21
NZ_CP011339.1	15676	16146	1	22
NZ_CP011339.1	16184	16990	-1	23
NZ_CP011339.1	17367	18452	1	24
NZ_CP011339.1	18586	18816	1	25
NZ_CP011339.1	18976	19785	1	26
NZ_CP011339.1	20681	22186	1	27
NZ_CP011339.1	22225	23640	-1	28
NZ_CP011339.1	23788	23955	-1	29
NZ_CP011339.1	24124	25287	-1	30
NZ_CP011339.1	25535	25942	-1	31
NZ_CP011339.1	26250	26576	1	32
NZ_CP011339.1	26666	26986	1	33
NZ_CP011339.1	27038	27655	1	34
NZ_CP011339.1	27967	29010	-1	35
NZ_CP011339.1	29046	29309	-1	36
NZ_CP011339.1	29299	29583	-1	37
NZ_CP011339.1	30040	30933	-1	38
NZ_CP011339.1	31165	31557	1	39
NZ_CP011339.1	32007	32708	1	40
NZ_CP011339.1	33109	33411	1	41
NZ_CP011339.1	34090	34320	-1	42
NZ_CP011339.1	34277	34726	-1	43
NZ_CP011339.1	34814	35857	-1	44
NZ_CP011339.1	36155	37000	-1	45
NZ_CP011339.1	37022	37177	-1	46
NZ_CP011339.1	37829	38443	-1	47
NZ_CP011339.1	38391	39020	-1	48
NZ_CP011339.1	39592	40485	-1	49
NZ_CP011339.1	40624	41592	1	50
NZ_CP011339.1	41531	41710	-1	51
NZ_CP011339.1	41777	42622	1	52
NZ_CP011339.1	43065	43376	-1	53
NZ_CP011339.1	43423	43701	-1	54
NZ_CP011339.1	44205	44657	1	55
NZ_CP011339.1	45166	46248	1	56
NZ_CP011339.1	46358	46927	1	57
NZ_CP011339.1	46960	47166	1	58
NZ_CP011339.1	47169	47399	1	59
NZ_CP011339.1	47726	48700	1	60
NZ_CP011339.1	49114	50091	1	61
NZ_CP011339.1	50130	50402	-1	62
NZ_CP011339.1	50408	50902	-1	63
NZ_CP011339.1	51207	51911	1	64
NZ_CP011339.1	52082	52660	1	65
NZ_CP011339.1	52637	52933	-1	66
NZ_CP011339.1	52949	53851	-1	67
NZ_CP011339.1	53965	54666	1	68
NZ_CP011339.1	55020	56582	1	69
NZ_CP011339.1	56881	57069	1	70
NZ_CP011339.1	57118	57369	1	71
NZ_CP011339.1	57436	58269	1	72
NZ_CP011339.1	58226	58456	1	73
NZ_CP011339.1	58680	59294	-1	74
NZ_CP011339.1	59242	59454	-1	75
NZ_CP011339.1	59520	60563	1	76
NZ_CP011339.1	60813	61163	-1	77
NZ_CP011339.1	61369	61641	-1	78
NZ_CP011339.1	61763	62977	-1	79
NZ_CP011339.1	63117	63518	-1	80
NZ_CP011339.1	63760	63999	-1	81
NZ_CP011339.1	64219	65373	-1	82
NZ_CP011339.1	65864	66097	1	83
NZ_CP011339.1	66054	67301	1	84
NZ_CP011339.1	67646	67921	1	85
NZ_CP011339.1	68883	69104	1	86
NZ_CP011339.1	69094	69501	1	87
NZ_CP011339.1	69625	69975	-1	88
NZ_CP011339.1	69991	71256	1	89
NZ_CP011339.1	71243	71710	-1	90
NZ_CP011339.1	72269	72862	1	91
NZ_CP011339.1	72834	73229	1	92
