Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_CP011339.1	NZ_CP011339.1@76	4330410	4330667	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[4414]	['1.20e-03']	[0.814]	[0.36]
NZ_CP011339.1	NZ_CP011339.1@58	3651686	3653941	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[3729]	['4.20e-75']	[0.489]	[0.334]
NZ_CP011339.1	NZ_CP011339.1@14	1037232	1038014	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1086]	['3.40e-06']	[0.594]	[0.504]
NZ_CP011339.1	NZ_CP011339.1@18	1198866	1199480	False	0%	0%	I-A	0.0	['PD_DExK_1_CAS-I-II-III-IV-V-VI']	[1249]	['6.70e-68']	[0.956]	[0.946]
NZ_CP011339.1	NZ_CP011339.1@33	2329029	2329634	False	0%	NA	III-B	1.0	['NYN_0_CAS-III-B']	[2380]	['5.50e-29']	[0.792]	[0.509]
NZ_CP011339.1	NZ_CP011339.1@7	560386	563448	False	0%	NA	III-B	2.0	['TPR_0_CAS-III-B', 'NYN_0_CAS-III-B']	[589, 591]	['2.20e-07', '4.40e-20']	[0.548, 0.87]	[0.441, 0.491]
NZ_CP011339.1	NZ_CP011339.1@2	357493	360078	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[385]	['7.70e-69']	[0.653]	[0.471]
NZ_CP011339.1	NZ_CP011339.1@13	996340	999507	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[1051]	['9.20e-08']	[0.344]	[0.439]
NZ_CP011339.1	NZ_CP011339.1@6	510804	513145	False	25%	NA	IV-B	2.0	['Cas11_0_IV', 'Cas11_0_IV']	[541, 545]	['7.60e-03', '7.60e-03']	[0.582, 0.582]	[0.447, 0.447]
NZ_CP011339.1	NZ_CP011339.1@19	1268632	1269612	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1312]	['1.50e-06']	[0.352]	[0.38]
NZ_CP011339.1	NZ_CP011339.1@32	2251515	2254031	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[2300]	['2.30e-11']	[0.386]	[0.457]
NZ_CP011339.1	NZ_CP011339.1@92	5416228	5416965	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[5435]	['2.00e-06']	[0.455]	[0.391]
NZ_CP011339.1	NZ_CP011339.1@95	5572068	5573657	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[5576]	['5.40e-11']	[0.491]	[0.691]
NZ_CP011339.1	NZ_CP011339.1@66	3942834	3944123	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4026]	['1.40e-06']	[0.7]	[0.739]
NZ_CP011339.1	NZ_CP011339.1@4	413825	414163	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[448]	['4.30e-22']	[0.628]	[0.678]
NZ_CP011339.1	NZ_CP011339.1@52	3168044	3169738	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3261]	['1.40e-06']	[0.354]	[0.641]
NZ_CP011339.1	NZ_CP011339.1@37	2444278	2444574	False	20%	0%	I-B	4.0	['Cas8b3_1_CAS-I-B']	[2494]	['6.30e-03']	[0.818]	[0.539]
NZ_CP011339.1	NZ_CP011339.1@94	5525315	5525686	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[5549]	['1.90e-22']	[0.75]	[0.864]
NZ_CP011339.1	NZ_CP011339.1@22	1461334	1462521	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1524]	['5.20e-08']	[0.323]	[0.426]
NZ_CP011339.1	NZ_CP011339.1@12	825855	827666	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[862]	['2.20e-58']	[0.417]	[0.836]
NZ_CP011339.1	NZ_CP011339.1@80	4493592	4494032	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[4571]	['8.00e-03']	[0.415]	[0.5]
NZ_CP011339.1	NZ_CP011339.1@75	4295003	4297583	False	0%	NA	III-A	1.0	['PD_DExK_0_CAS-III-A', 'PD_DExK_0_CAS-III-A', 'PD_DExK_0_CAS-III-A']	[4379, 4380, 4381]	['6.50e-03', '5.20e-03', '2.30e-03']	[0.398, 0.437, 0.598]	[0.421, 0.417, 0.557]
NZ_CP011339.1	NZ_CP011339.1@29	1953937	1954173	False	25%	NA	IV-B	2.0	['Cas11_0_IV']	[2016]	['3.90e-03']	[0.582]	[0.447]
NZ_CP011339.1	NZ_CP011339.1@17	1150531	1151277	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1198]	['8.90e-04']	[0.414]	[0.338]
NZ_CP011339.1	NZ_CP011339.1@40	2545420	2545719	False	0%	NA	III-B	1.0	['CorA_1_CAS-III-B']	[2614]	['9.40e-03']	[0.77]	[0.624]
NZ_CP011339.1	NZ_CP011339.1@53	3428815	3429597	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[3516]	['6.90e-05']	[0.701]	[0.324]
NZ_CP011339.1	NZ_CP011339.1@91	5208367	5210879	False	20%	NA	III-A	2.0	['Csm5gr7_2_CAS-III-A-III-D', 'CorA_1_CAS-III-B', 'Csm5gr7_2_CAS-III-A-III-D', 'Csm5gr7_2_CAS-III-A-III-D']	[5213, 5216, 5217, 5218]	['2.30e-04', '6.30e-03', '2.20e-04', '5.00e-04']	[0.727, 0.545, 0.712, 0.694]	[0.345, 0.488, 0.337, 0.314]
NZ_CP011339.1	NZ_CP011339.1@62	3714342	3714704	False	0%	NA	III-A	1.0	['PEPT_D_0_CAS-III-A']	[3799]	['4.70e-05']	[0.752]	[0.876]
NZ_CP011339.1	NZ_CP011339.1@67	3951893	3953716	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[4035]	['6.30e-04']	[0.336]	[0.525]
NZ_CP011339.1	NZ_CP011339.1@43	2776347	2776619	False	17%	NA	III-D	3.0	['Csx19_9_CAS-III-D']	[2823]	['2.10e-03']	[0.747]	[0.507]
NZ_CP011339.1	NZ_CP011339.1@93	5486677	5487486	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[5504]	['7.70e-05']	[0.426]	[0.458]
NZ_CP011339.1	NZ_CP011339.1@73	4220874	4223751	False	0%	NA	III-C	1.0	['AbiEii_2_CAS-III-C', 'AbiEii_0_CAS-III']	[4301, 4303]	['1.10e-16', '2.30e-07']	[0.324, 0.52]	[0.307, 0.44]
NZ_CP011339.1	NZ_CP011339.1@65	3838634	3838927	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[3920]	['5.00e-04']	[0.704]	[0.326]
NZ_CP011339.1	NZ_CP011339.1@70	4126347	4130458	False	0%	NA	III-A	2.0	['PD_DExK_0_CAS-III-A', 'RT_0_CAS-III-AM-III-B']	[4205, 4209]	['2.70e-04', '1.80e-58']	[0.511, 0.437]	[0.526, 0.832]
NZ_CP011339.1	NZ_CP011339.1@20	1275268	1276893	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1318]	['1.10e-04']	[0.301]	[0.317]
NZ_CP011339.1	NZ_CP011339.1@23	1535528	1537372	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[1607]	['1.20e-55']	[0.408]	[0.839]
NZ_CP011339.1	NZ_CP011339.1@25	1691995	1692762	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1735]	['5.40e-07']	[0.379]	[0.342]
NZ_CP011339.1	NZ_CP011339.1@87	4998331	4999770	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', '2OG_0_CAS-I-II-III-IV-V-VI']	[4988, 4989]	['9.00e-04', '9.80e-85']	[0.512, 0.924]	[0.482, 0.961]
NZ_CP011339.1	NZ_CP011339.1@64	3804632	3805219	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3887]	['1.50e-41']	[0.791]	[0.53]
NZ_CP011339.1	NZ_CP011339.1@44	2788850	2790223	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[2840]	['9.10e-59']	[0.55]	[0.836]
NZ_CP011339.1	NZ_CP011339.1@5	499364	501253	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[532]	['9.50e-09']	[0.329]	[0.465]
NZ_CP011339.1	NZ_CP011339.1@10	716698	718776	False	0%	NA	III-A	1.0	['PD_DExK_0_CAS-III-A', '2OG_1_CAS-I-II-III-IV-V-VI']	[730, 731]	['4.10e-03', '1.10e-12']	[0.487, 0.387]	[0.504, 0.979]
NZ_CP011339.1	NZ_CP011339.1@63	3796744	3798552	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[3880]	['5.50e-55']	[0.415]	[0.839]
NZ_CP011339.1	NZ_CP011339.1@36	2433886	2435061	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2482]	['3.30e-07']	[0.388]	[0.525]
NZ_CP011339.1	NZ_CP011339.1@60	3687536	3688720	False	0%	NA	III-C	1.0	['AbiEii_2_CAS-III-C']	[3771]	['5.50e-07']	[0.415]	[0.393]
