Contig	Start	End	Strand	Pos
NZ_ABYK01000129.1	69	446	1	1
NZ_ABYK01000129.1	473	1531	1	2
NZ_ABYK01000129.1	1604	2026	1	3
NZ_ABYK01000128.1	62	751	-1	1
NZ_ABYK01000128.1	1520	1819	1	2
NZ_ABYK01000128.1	1816	2013	1	3
NZ_ABYK01000127.1	396	557	1	1
NZ_ABYK01000127.1	1404	1670	-1	2
NZ_ABYK01000127.1	1691	2089	-1	3
NZ_ABYK01000126.1	93	527	-1	1
NZ_ABYK01000126.1	810	983	-1	2
NZ_ABYK01000126.1	1086	1949	-1	3
NZ_ABYK01000126.1	2063	2146	1	4
NZ_ABYK01000125.1	1291	2013	1	1
NZ_ABYK01000124.1	2	2119	1	1
NZ_ABYK01000124.1	2185	2289	1	2
NZ_ABYK01000123.1	19	2583	-1	1
NZ_ABYK01000122.1	2	418	-1	1
NZ_ABYK01000122.1	929	2056	1	2
NZ_ABYK01000122.1	2053	2586	1	3
NZ_ABYK01000121.1	1	306	-1	1
NZ_ABYK01000121.1	473	619	-1	2
NZ_ABYK01000121.1	588	1784	-1	3
NZ_ABYK01000121.1	1835	2593	-1	4
NZ_ABYK01000120.1	1	75	1	1
NZ_ABYK01000120.1	639	1127	-1	2
NZ_ABYK01000120.1	1132	1356	-1	3
NZ_ABYK01000120.1	1534	1707	-1	4
NZ_ABYK01000119.1	1	402	1	1
NZ_ABYK01000119.1	809	2239	-1	2
NZ_ABYK01000118.1	123	533	-1	1
NZ_ABYK01000118.1	512	1027	-1	2
NZ_ABYK01000118.1	1192	1701	-1	3
NZ_ABYK01000118.1	1773	1937	-1	4
NZ_ABYK01000118.1	2050	2904	-1	5
NZ_ABYK01000117.1	3	1196	-1	1
NZ_ABYK01000117.1	1257	1814	-1	2
NZ_ABYK01000117.1	2295	2987	1	3
NZ_ABYK01000116.1	3	131	1	1
NZ_ABYK01000116.1	639	1682	1	2
NZ_ABYK01000116.1	2787	3119	1	3
NZ_ABYK01000115.1	128	1846	1	1
NZ_ABYK01000115.1	2072	2389	-1	2
NZ_ABYK01000115.1	2389	3051	-1	3
NZ_ABYK01000114.1	29	376	-1	1
NZ_ABYK01000114.1	441	1823	-1	2
NZ_ABYK01000114.1	2049	2579	-1	3
NZ_ABYK01000114.1	2572	3273	-1	4
NZ_ABYK01000113.1	2	298	-1	1
NZ_ABYK01000113.1	656	2368	1	2
NZ_ABYK01000113.1	2442	3086	-1	3
NZ_ABYK01000113.1	3076	3276	-1	4
NZ_ABYK01000112.1	853	2172	-1	1
NZ_ABYK01000112.1	2329	3327	-1	2
NZ_ABYK01000111.1	2	487	-1	1
NZ_ABYK01000111.1	776	967	1	2
NZ_ABYK01000111.1	1361	1513	-1	3
NZ_ABYK01000111.1	2041	2784	-1	4
NZ_ABYK01000111.1	2802	3011	-1	5
NZ_ABYK01000111.1	3280	3456	1	6
NZ_ABYK01000110.1	21	2438	1	1
NZ_ABYK01000110.1	2523	3683	1	2
NZ_ABYK01000109.1	3	3914	1	1
NZ_ABYK01000108.1	2	598	-1	1
NZ_ABYK01000108.1	706	1056	-1	2
NZ_ABYK01000108.1	1266	1544	-1	3
NZ_ABYK01000108.1	1697	2560	-1	4
NZ_ABYK01000108.1	2742	3053	-1	5
NZ_ABYK01000108.1	3043	3675	-1	6
NZ_ABYK01000108.1	3695	3934	-1	7
NZ_ABYK01000107.1	3	602	-1	1
NZ_ABYK01000107.1	1445	1585	1	2
NZ_ABYK01000107.1	2056	3804	1	3
NZ_ABYK01000106.1	3	707	1	1
NZ_ABYK01000106.1	758	1081	-1	2
NZ_ABYK01000106.1	1102	1989	-1	3
NZ_ABYK01000106.1	2232	3974	1	4
NZ_ABYK01000105.1	329	2044	1	1
NZ_ABYK01000105.1	2115	3467	-1	2
NZ_ABYK01000105.1	3523	4476	-1	3
NZ_ABYK01000104.1	1	105	-1	1
NZ_ABYK01000104.1	495	926	1	2
NZ_ABYK01000104.1	1270	3294	-1	3
NZ_ABYK01000103.1	2	541	-1	1
NZ_ABYK01000103.1	810	962	-1	2
NZ_ABYK01000103.1	1327	1914	-1	3
NZ_ABYK01000103.1	2064	2468	1	4
NZ_ABYK01000103.1	2503	2919	1	5
NZ_ABYK01000103.1	2916	3743	-1	6
NZ_ABYK01000103.1	3938	4990	-1	7
NZ_ABYK01000102.1	1598	2218	1	1
NZ_ABYK01000102.1	2306	3181	1	2
NZ_ABYK01000102.1	3553	4110	1	3
NZ_ABYK01000102.1	4152	5027	1	4
NZ_ABYK01000102.1	6040	6435	1	5
NZ_ABYK01000102.1	6422	6748	1	6
NZ_ABYK01000101.1	3	863	-1	1
NZ_ABYK01000101.1	1386	3446	-1	2
NZ_ABYK01000101.1	4615	7161	-1	3
NZ_ABYK01000100.1	378	1661	1	1
NZ_ABYK01000100.1	1768	2934	1	2
NZ_ABYK01000100.1	3259	3615	1	3
NZ_ABYK01000100.1	4077	4241	1	4
NZ_ABYK01000100.1	4494	6761	1	5
NZ_ABYK01000100.1	7065	7367	1	6
NZ_ABYK01000099.1	333	911	-1	1
NZ_ABYK01000099.1	908	1378	-1	2
NZ_ABYK01000099.1	1489	2577	-1	3
NZ_ABYK01000099.1	2867	3361	1	4
NZ_ABYK01000099.1	3403	3876	1	5
NZ_ABYK01000099.1	4021	4608	1	6
NZ_ABYK01000099.1	4650	4817	1	7
NZ_ABYK01000099.1	5120	5386	1	8
NZ_ABYK01000099.1	5794	6414	1	9
NZ_ABYK01000099.1	6616	6873	1	10
NZ_ABYK01000099.1	6925	7530	-1	11
NZ_ABYK01000098.1	3	92	1	1
NZ_ABYK01000098.1	76	687	1	2
NZ_ABYK01000098.1	1370	1891	1	3
NZ_ABYK01000098.1	1925	2716	1	4
NZ_ABYK01000098.1	2726	3544	1	5
NZ_ABYK01000098.1	3682	4071	1	6
NZ_ABYK01000098.1	4378	4509	-1	7
NZ_ABYK01000098.1	4665	5705	-1	8
NZ_ABYK01000098.1	5807	6841	1	9
NZ_ABYK01000098.1	6867	7484	1	10
NZ_ABYK01000098.1	7484	7543	1	11
NZ_ABYK01000097.1	2	202	1	1
NZ_ABYK01000097.1	261	785	1	2
NZ_ABYK01000097.1	846	1868	-1	3
NZ_ABYK01000097.1	1884	5093	-1	4
NZ_ABYK01000097.1	5456	5680	1	5
NZ_ABYK01000097.1	6029	9136	1	6
NZ_ABYK01000097.1	9350	9919	1	7
NZ_ABYK01000096.1	1	270	1	1
NZ_ABYK01000096.1	249	1604	-1	2
NZ_ABYK01000096.1	1607	2167	-1	3
NZ_ABYK01000096.1	2331	3731	-1	4
NZ_ABYK01000096.1	3829	5703	-1	5
NZ_ABYK01000096.1	6257	7138	-1	6
NZ_ABYK01000096.1	7379	7594	-1	7
NZ_ABYK01000096.1	7878	10091	-1	8
NZ_ABYK01000095.1	17	151	-1	1
NZ_ABYK01000095.1	485	1876	1	2
NZ_ABYK01000095.1	1984	2859	1	3
NZ_ABYK01000095.1	3784	4113	-1	4
NZ_ABYK01000095.1	4106	4378	-1	5
NZ_ABYK01000095.1	4441	4650	-1	6
NZ_ABYK01000095.1	4685	5263	-1	7
NZ_ABYK01000095.1	5260	5883	-1	8
NZ_ABYK01000095.1	5960	6697	-1	9
NZ_ABYK01000095.1	6700	7077	-1	10
NZ_ABYK01000095.1	7074	7484	-1	11
NZ_ABYK01000095.1	7477	7821	-1	12
NZ_ABYK01000095.1	8105	8374	-1	13
NZ_ABYK01000095.1	9168	9317	-1	14
NZ_ABYK01000095.1	9391	9636	-1	15
NZ_ABYK01000094.1	3	656	1	1
NZ_ABYK01000094.1	1088	1423	1	2
NZ_ABYK01000094.1	1386	2897	1	3
NZ_ABYK01000094.1	3128	3430	1	4
NZ_ABYK01000094.1	3596	5284	1	5
NZ_ABYK01000094.1	5367	5660	-1	6
NZ_ABYK01000094.1	5845	8592	1	7
NZ_ABYK01000094.1	8654	10435	1	8
NZ_ABYK01000093.1	3	395	1	1
NZ_ABYK01000093.1	557	724	1	2
NZ_ABYK01000093.1	701	1360	-1	3
NZ_ABYK01000093.1	1385	1528	-1	4
NZ_ABYK01000093.1	1787	2374	1	5
NZ_ABYK01000093.1	2407	3522	-1	6
NZ_ABYK01000093.1	3566	4624	-1	7
NZ_ABYK01000093.1	4773	4937	1	8
NZ_ABYK01000093.1	4987	6021	-1	9
NZ_ABYK01000093.1	6046	6492	-1	10
NZ_ABYK01000093.1	7518	8843	-1	11
NZ_ABYK01000093.1	8971	9660	1	12
NZ_ABYK01000093.1	9939	10529	-1	13
NZ_ABYK01000092.1	63	338	-1	1
NZ_ABYK01000092.1	301	1857	-1	2
NZ_ABYK01000092.1	1957	3075	-1	3
NZ_ABYK01000092.1	3379	4089	1	4
NZ_ABYK01000092.1	4440	4883	1	5
NZ_ABYK01000092.1	4874	5224	-1	6
NZ_ABYK01000092.1	5200	6807	-1	7
NZ_ABYK01000092.1	7352	7555	-1	8
NZ_ABYK01000092.1	7628	8194	1	9
NZ_ABYK01000092.1	8257	9627	1	10
NZ_ABYK01000092.1	9628	10395	-1	11
NZ_ABYK01000091.1	3	563	-1	1
