Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx1_20_CAS-III	NZ_MKZS01000001.1_5583	301	379	0.0038	14.7	6710728	6711630	NZ_MKZS01000001.1	5583	0.2292358803986711	0.17678100263852242	1
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_MKZS01000001.1_3354	199	130	0.022000000000000002	13.5	3977619	3978215	NZ_MKZS01000001.1	3354	0.1658291457286432	0.25384615384615383	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZS01000001.1_263	904	179	0.00022999999999999998	20.0	305169	307880	NZ_MKZS01000001.1	263	0.11504424778761062	0.5921787709497207	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZS01000001.1_450	266	179	0.00031	19.6	512399	513196	NZ_MKZS01000001.1	450	0.5864661654135338	0.770949720670391	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZS01000001.1_3055	519	179	0.0093	14.8	3627548	3629104	NZ_MKZS01000001.1	3055	0.21579961464354527	0.6480446927374302	-1
Csn2_3_CAS-II-A	NZ_MKZS01000001.1_2343	162	219	7.5	4.8	2797238	2797723	NZ_MKZS01000001.1	2343	0.3395061728395062	0.2420091324200913	-1
Cas9_1_II	NZ_MKZS01000001.1_1283	424	1120	0.052000000000000005	10.2	1515615	1516886	NZ_MKZS01000001.1	1283	0.2806603773584906	0.11607142857142858	-1
Cas9_1_II	NZ_MKZS01000001.1_2744	383	1120	1.6	5.2	3289215	3290363	NZ_MKZS01000001.1	2744	0.2924281984334204	0.10446428571428572	1
Cas5_1_CAS-I-B	NZ_MKZS01000001.1_3819	424	276	0.019	12.9	4589309	4590580	NZ_MKZS01000001.1	3819	0.18867924528301888	0.30434782608695654	-1
Cas12e_1_CAS-V-E	NZ_MKZS01000001.1_1092	350	986	0.013000000000000001	11.9	1291409	1292458	NZ_MKZS01000001.1	1092	0.16285714285714287	0.056795131845841784	1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_4075	464	277	2.5e-05	22.2	4902324	4903715	NZ_MKZS01000001.1	4075	0.1314655172413793	0.1407942238267148	1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_262	705	277	0.00033	18.5	302737	304851	NZ_MKZS01000001.1	262	0.0851063829787234	0.21299638989169675	1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_1142	329	277	0.0081	13.9	1341171	1342157	NZ_MKZS01000001.1	1142	0.1945288753799392	0.21660649819494585	1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_5521	343	277	0.012	13.3	6621381	6622409	NZ_MKZS01000001.1	5521	0.119533527696793	0.148014440433213	-1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_5560	543	277	0.022000000000000002	12.5	6682894	6684522	NZ_MKZS01000001.1	5560	0.0570902394106814	0.11191335740072202	-1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_2320	205	277	0.032	11.9	2762336	2762950	NZ_MKZS01000001.1	2320	0.13658536585365855	0.10108303249097472	-1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_1521	728	277	0.036000000000000004	11.8	1776015	1778198	NZ_MKZS01000001.1	1521	0.10576923076923077	0.1263537906137184	-1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_3966	740	277	0.040999999999999995	11.6	4763257	4765476	NZ_MKZS01000001.1	3966	0.05675675675675676	0.15162454873646208	-1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_5618	289	277	0.048	11.4	6755450	6756316	NZ_MKZS01000001.1	5618	0.1384083044982699	0.1299638989169675	1
Csx3_2_CAS-I-III	NZ_MKZS01000001.1_4734	510	277	0.063	11.0	5688217	5689746	NZ_MKZS01000001.1	4734	0.12352941176470589	0.22021660649819494	-1
Cas6_1_CAS-I-II-III-IV-V-VI	NZ_MKZS01000001.1_1157	862	194	0.0051	15.5	1356694	1359279	NZ_MKZS01000001.1	1157	0.11600928074245939	0.520618556701031	-1
Cmr3gr5_0_CAS-III-B-III-C	NZ_MKZS01000001.1_1751	259	373	0.027999999999999997	11.7	2044660	2045436	NZ_MKZS01000001.1	1751	0.3590733590733591	0.24664879356568364	1
Csx1_8_CAS-III	NZ_MKZS01000001.1_6	123	219	0.040999999999999995	12.1	4664	5032	NZ_MKZS01000001.1	6	0.5609756097560976	0.3013698630136986	1
Cmr5gr11_3_CAS-III-B	NZ_MKZS01000001.1_2696	143	119	0.017	14.2	3231964	3232392	NZ_MKZS01000001.1	2696	0.27972027972027974	0.3445378151260504	1
Csf4_2_IVA1	NZ_MKZS01000001.1_4056	648	526	0.017	12.4	4877802	4879745	NZ_MKZS01000001.1	4056	0.08179012345679013	0.09885931558935361	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_6007	602	298	6.599999999999998e-127	421.1	7191751	7193556	NZ_MKZS01000001.1	6007	0.792358803986711	0.8758389261744967	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_1435	562	298	2.2999999999999997e-66	222.3	1689008	1690693	NZ_MKZS01000001.1	1435	0.4750889679715303	0.8791946308724832	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5833	567	298	4.899999999999999e-65	218.0	6996928	6998628	NZ_MKZS01000001.1	5833	0.43562610229276894	0.8523489932885906	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_6215	459	298	1.3999999999999997e-64	216.5	7439883	7441259	NZ_MKZS01000001.1	6215	0.5838779956427015	0.8825503355704698	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_6307	610	298	1.6999999999999997e-64	216.2	7551972	7553801	NZ_MKZS01000001.1	6307	0.4262295081967213	0.8758389261744967	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3069	573	298	2.5999999999999997e-64	215.6	3646377	3648095	NZ_MKZS01000001.1	3069	0.43106457242582896	0.7953020134228188	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3659	632	298	5.999999999999999e-64	214.4	4379999	4381894	NZ_MKZS01000001.1	3659	0.36550632911392406	0.7785234899328859	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4605	528	298	1.0999999999999998e-63	213.6	5546294	5547877	NZ_MKZS01000001.1	4605	0.42424242424242425	0.7516778523489933	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2999	575	298	1.2999999999999998e-63	213.3	3571891	3573615	NZ_MKZS01000001.1	2999	0.44869565217391305	0.8691275167785235	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000005.1_2	615	298	1.3999999999999999e-63	213.2	331	2175	NZ_MKZS01000005.1	2	0.4146341463414634	0.87248322147651	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4736	576	298	2.6999999999999997e-63	212.3	5691614	5693341	NZ_MKZS01000001.1	4736	0.4149305555555556	0.761744966442953	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_548	563	298	3.6999999999999996e-63	211.8	630670	632358	NZ_MKZS01000001.1	548	0.4227353463587922	0.7651006711409396	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5831	608	298	4.5999999999999995e-63	211.5	6993220	6995043	NZ_MKZS01000001.1	5831	0.4144736842105263	0.8624161073825504	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_1405	504	298	2.8999999999999996e-54	182.6	1649404	1650915	NZ_MKZS01000001.1	1405	0.5555555555555556	0.8859060402684564	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4808	585	298	5.699999999999999e-53	178.4	5785071	5786825	NZ_MKZS01000001.1	4808	0.4324786324786325	0.7718120805369127	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5834	505	298	2.3999999999999997e-51	173.0	6998797	7000311	NZ_MKZS01000001.1	5834	0.49306930693069306	0.87248322147651	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_524	535	298	3.4e-49	166.0	604318	605922	NZ_MKZS01000001.1	524	0.4635514018691589	0.8691275167785235	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4792	503	298	4.0999999999999995e-48	162.4	5755809	5757317	NZ_MKZS01000001.1	4792	0.49502982107355864	0.87248322147651	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_993	311	298	1.9999999999999997e-47	160.1	1172709	1173641	NZ_MKZS01000001.1	993	0.77491961414791	0.8456375838926175	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2862	277	298	5.2e-45	152.2	3415460	3416290	NZ_MKZS01000001.1	2862	0.8700361010830325	0.8456375838926175	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4602	389	298	3.2e-42	143.1	5543538	5544704	NZ_MKZS01000001.1	4602	0.4987146529562982	0.6778523489932886	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_1354	180	298	3.2999999999999995e-40	136.5	1599154	1599693	NZ_MKZS01000001.1	1354	0.9222222222222223	0.5838926174496645	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5633	373	298	2.6999999999999997e-36	123.6	6769042	6770160	NZ_MKZS01000001.1	5633	0.4772117962466488	0.6241610738255033	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_587	260	298	9.199999999999999e-32	108.7	685676	686455	NZ_MKZS01000001.1	587	0.5192307692307693	0.4563758389261745	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_6006	371	298	9.999999999999999e-32	108.6	7190657	7191769	NZ_MKZS01000001.1	6006	0.38005390835579517	0.4395973154362416	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2860	246	298	9.3e-29	98.9	3412714	3413451	NZ_MKZS01000001.1	2860	0.7032520325203252	0.6006711409395973	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2773	333	298	7.200000000000001e-26	89.4	3328973	3329971	NZ_MKZS01000001.1	2773	0.3483483483483483	0.34563758389261745	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3705	333	298	1.0999999999999999e-25	88.8	4445492	4446490	NZ_MKZS01000001.1	3705	0.3483483483483483	0.34563758389261745	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_6193	1022	298	3.8000000000000003e-25	87.0	7407505	7410570	NZ_MKZS01000001.1	6193	0.27690802348336596	0.8758389261744967	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5581	311	298	3.5000000000000004e-24	83.9	6707981	6708913	NZ_MKZS01000001.1	5581	0.31189710610932475	0.35570469798657717	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3640	282	298	4.5999999999999995e-24	83.5	4353094	4353939	NZ_MKZS01000001.1	3640	0.40070921985815605	0.33557046979865773	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2217	399	298	2.8999999999999996e-23	80.8	2629850	2631046	NZ_MKZS01000001.1	2217	0.2857142857142857	0.3389261744966443	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_1590	471	298	1.3e-15	55.8	1862524	1863936	NZ_MKZS01000001.1	1590	0.49469214437367304	0.761744966442953	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_588	331	298	1.2e-10	39.4	686484	687476	NZ_MKZS01000001.1	588	0.2175226586102719	0.2214765100671141	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5635	263	298	3.5e-09	34.6	6771019	6771807	NZ_MKZS01000001.1	5635	0.22053231939163498	0.19463087248322147	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5634	81	298	1.2e-08	32.9	6770724	6770966	NZ_MKZS01000001.1	5634	0.7407407407407407	0.22483221476510068	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2859	250	298	1.8e-08	32.3	3411921	3412670	NZ_MKZS01000001.1	2859	0.2	0.16778523489932887	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_4227	47	298	3.8e-06	24.6	5086378	5086518	NZ_MKZS01000001.1	4227	0.9787234042553191	0.15436241610738255	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_5580	158	298	4.1e-06	24.5	6707374	6707847	NZ_MKZS01000001.1	5580	0.43037974683544306	0.23825503355704697	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3706	143	298	0.0027	15.3	4446717	4447145	NZ_MKZS01000001.1	3706	0.46853146853146854	0.24161073825503357	-1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_2772	143	298	0.003	15.1	3328317	3328745	NZ_MKZS01000001.1	2772	0.46853146853146854	0.24161073825503357	1
RT_0_CAS-III-AM-III-B	NZ_MKZS01000001.1_3639	141	298	0.005	14.4	4352445	4352867	NZ_MKZS01000001.1	3639	0.48226950354609927	0.24496644295302014	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_6193	1022	414	1.2e-05	22.9	7407505	7410570	NZ_MKZS01000001.1	6193	0.15264187866927592	0.33816425120772947	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_3659	632	414	0.00099	16.6	4379999	4381894	NZ_MKZS01000001.1	3659	0.1518987341772152	0.22946859903381642	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_5831	608	414	0.0021	15.5	6993220	6995043	NZ_MKZS01000001.1	5831	0.08388157894736842	0.12318840579710146	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_5581	311	414	0.0038	14.7	6707981	6708913	NZ_MKZS01000001.1	5581	0.14469453376205788	0.10869565217391304	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_1405	504	414	0.0041	14.6	1649404	1650915	NZ_MKZS01000001.1	1405	0.08928571428571429	0.10869565217391304	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_6007	602	414	0.01	13.3	7191751	7193556	NZ_MKZS01000001.1	6007	0.14950166112956811	0.10869565217391304	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_524	535	414	0.01	13.2	604318	605922	NZ_MKZS01000001.1	524	0.08411214953271028	0.10869565217391304	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_5633	373	414	0.011000000000000001	13.2	6769042	6770160	NZ_MKZS01000001.1	5633	0.1260053619302949	0.11352657004830918	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_4792	503	414	0.013999999999999999	12.8	5755809	5757317	NZ_MKZS01000001.1	4792	0.08946322067594434	0.10869565217391304	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_5834	505	414	0.022000000000000002	12.2	6998797	7000311	NZ_MKZS01000001.1	5834	0.09900990099009901	0.12077294685990338	1
RT_0_CAS-I-E	NZ_MKZS01000001.1_993	311	414	0.027999999999999997	11.8	1172709	1173641	NZ_MKZS01000001.1	993	0.14469453376205788	0.10869565217391304	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_2999	575	414	0.039	11.3	3571891	3573615	NZ_MKZS01000001.1	2999	0.0817391304347826	0.11352657004830918	-1
RT_0_CAS-I-E	NZ_MKZS01000001.1_4602	389	414	0.049	11.0	5543538	5544704	NZ_MKZS01000001.1	4602	0.11568123393316196	0.10869565217391304	-1
RT_0_CAS-I-E	NZ_MKZS01000005.1_2	615	414	0.057999999999999996	10.8	331	2175	NZ_MKZS01000005.1	2	0.07642276422764227	0.11352657004830918	-1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_669	377	284	2.8999999999999998e-06	25.5	784141	785271	NZ_MKZS01000001.1	669	0.16976127320954906	0.22887323943661972	1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_3372	342	284	0.0013	16.8	4006699	4007724	NZ_MKZS01000001.1	3372	0.15204678362573099	0.2007042253521127	1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_5496	375	284	0.003	15.6	6591653	6592777	NZ_MKZS01000001.1	5496	0.10133333333333333	0.15492957746478872	-1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_3601	323	284	0.0046	15.0	4305467	4306435	NZ_MKZS01000001.1	3601	0.17956656346749225	0.2007042253521127	-1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_5368	137	284	0.019	13.0	6436906	6437316	NZ_MKZS01000001.1	5368	0.4233576642335766	0.20774647887323944	-1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_4504	350	284	0.062	11.3	5428848	5429897	NZ_MKZS01000001.1	4504	0.1457142857142857	0.19718309859154928	1
Mem_DnaJ_0_CAS-III-AM	NZ_MKZS01000001.1_5913	207	284	0.065	11.2	7076569	7077189	NZ_MKZS01000001.1	5913	0.1642512077294686	0.11971830985915492	-1
Cas8b1_6_CAS-I-B	NZ_MKZS01000001.1_321	314	569	0.062	10.5	367455	368396	NZ_MKZS01000001.1	321	0.14968152866242038	0.08260105448154657	1
Csn2_11_CAS-II-A	NZ_MKZS01000001.1_3994	573	283	0.011000000000000001	14.0	4798662	4800380	NZ_MKZS01000001.1	3994	0.15357766143106458	0.18021201413427562	-1
Csn2_11_CAS-II-A	NZ_MKZS01000001.1_3998	644	283	0.015	13.5	4806407	4808338	NZ_MKZS01000001.1	3998	0.18633540372670807	0.28975265017667845	-1
