Contig	Start	End	Strand	Pos
NZ_QMEA01000100.1	6	248	-1	1
NZ_QMEA01000100.1	403	648	1	2
NZ_QMEA01000100.1	568	3906	-1	3
NZ_QMEA01000100.1	4924	5295	1	4
NZ_QMEA01000100.1	5275	6201	-1	5
NZ_QMEA01000100.1	6442	6843	-1	6
NZ_QMEA01000100.1	8009	8233	-1	7
NZ_QMEA01000100.1	8995	10347	1	8
NZ_QMEA01000100.1	10518	13706	1	9
NZ_QMEA01000100.1	14095	14313	1	10
NZ_QMEA01000100.1	14497	16164	1	11
NZ_QMEA01000100.1	17014	18624	1	12
NZ_QMEA01000100.1	18628	18927	-1	13
NZ_QMEA01000100.1	19174	19584	1	14
NZ_QMEA01000100.1	20067	22070	1	15
NZ_QMEA01000100.1	22251	22559	-1	16
NZ_QMEA01000100.1	23094	23231	-1	17
NZ_QMEA01000100.1	23354	24121	-1	18
NZ_QMEA01000100.1	24212	24874	-1	19
NZ_QMEA01000101.1	105	881	-1	1
NZ_QMEA01000101.1	1075	2553	1	2
NZ_QMEA01000101.1	2727	4274	-1	3
NZ_QMEA01000101.1	4387	7371	-1	4
NZ_QMEA01000101.1	8181	8744	-1	5
NZ_QMEA01000101.1	8903	9583	-1	6
NZ_QMEA01000101.1	9817	10386	1	7
NZ_QMEA01000101.1	10867	11883	1	8
NZ_QMEA01000101.1	11903	13345	-1	9
NZ_QMEA01000101.1	13414	13923	1	10
NZ_QMEA01000101.1	14014	14724	1	11
NZ_QMEA01000101.1	15237	16532	1	12
NZ_QMEA01000101.1	16995	17282	1	13
NZ_QMEA01000101.1	17942	19333	-1	14
NZ_QMEA01000101.1	19428	19592	-1	15
NZ_QMEA01000101.1	20456	20911	-1	16
NZ_QMEA01000101.1	20920	21372	-1	17
NZ_QMEA01000101.1	21442	21636	1	18
NZ_QMEA01000101.1	21557	22483	-1	19
NZ_QMEA01000101.1	22829	22993	1	20
NZ_QMEA01000101.1	22935	23606	1	21
NZ_QMEA01000101.1	23821	24573	1	22
NZ_QMEA01000101.1	24629	24790	1	23
NZ_QMEA01000102.1	3	278	1	1
NZ_QMEA01000102.1	165	995	-1	2
NZ_QMEA01000102.1	1021	1878	-1	3
NZ_QMEA01000102.1	1931	3052	-1	4
NZ_QMEA01000102.1	3288	4151	-1	5
NZ_QMEA01000102.1	4731	5081	1	6
NZ_QMEA01000102.1	5593	8016	1	7
NZ_QMEA01000102.1	8284	8844	-1	8
NZ_QMEA01000102.1	9308	10234	1	9
NZ_QMEA01000102.1	10463	11359	1	10
NZ_QMEA01000102.1	11805	13553	1	11
NZ_QMEA01000102.1	13982	15628	1	12
NZ_QMEA01000102.1	15938	16141	-1	13
NZ_QMEA01000102.1	16552	16749	-1	14
NZ_QMEA01000102.1	18792	19565	1	15
NZ_QMEA01000102.1	19842	20603	1	16
NZ_QMEA01000102.1	20888	22276	-1	17
NZ_QMEA01000102.1	22774	24525	1	18
NZ_QMEA01000103.1	292	789	-1	1
NZ_QMEA01000103.1	930	1709	-1	2
NZ_QMEA01000103.1	2120	2584	1	3
NZ_QMEA01000103.1	2728	3615	-1	4
NZ_QMEA01000103.1	3712	4242	-1	5
NZ_QMEA01000103.1	4439	5086	-1	6
NZ_QMEA01000103.1	5285	6991	1	7
NZ_QMEA01000103.1	7157	7705	1	8
NZ_QMEA01000103.1	7801	8646	-1	9
NZ_QMEA01000103.1	9440	9640	1	10
NZ_QMEA01000103.1	9674	10027	1	11
NZ_QMEA01000103.1	10343	10657	1	12
NZ_QMEA01000103.1	10863	12590	1	13
NZ_QMEA01000103.1	12706	12867	1	14
NZ_QMEA01000103.1	12933	14231	-1	15
NZ_QMEA01000103.1	15116	15397	1	16
NZ_QMEA01000103.1	16238	16858	1	17
NZ_QMEA01000103.1	16935	17789	-1	18
NZ_QMEA01000103.1	18177	19187	1	19
NZ_QMEA01000103.1	19262	20431	-1	20
NZ_QMEA01000103.1	20674	23202	1	21
NZ_QMEA01000103.1	23368	24414	1	22
NZ_QMEA01000103.1	24489	24950	-1	23
NZ_QMEA01000103.1	25319	26047	1	24
NZ_QMEA01000103.1	26062	27921	1	25
NZ_QMEA01000103.1	28030	29382	1	26
NZ_QMEA01000104.1	393	521	-1	1
NZ_QMEA01000104.1	766	2406	1	2
NZ_QMEA01000104.1	2669	3238	1	3
NZ_QMEA01000104.1	3445	3657	1	4
