Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Csx3_3_CAS-I-III	NZ_CM001632.1_3580	310	79	3.8999999999999994e-36	121.1	3966201	3967130	NZ_CM001632.1	3580	0.24516129032258063	0.9746835443037974	-1
Cas8b1_10_CAS-I-B	NZ_CM001632.1_1109	185	567	0.0068	13.3	1230177	1230731	NZ_CM001632.1	1109	0.41621621621621624	0.14109347442680775	1
Cas8b1_3_CAS-I-B	NZ_CM001632.1_75	81	594	0.021	11.8	73732	73974	NZ_CM001632.1	75	0.8024691358024691	0.11784511784511785	1
Csx1_20_CAS-III	NZ_CM001632.1_3875	462	379	4.2999999999999993e-63	211.7	4321849	4323234	NZ_CM001632.1	3875	0.8636363636363636	0.9841688654353562	1
Csx1_20_CAS-III	NZ_CM001632.1_1909	333	379	0.031	11.3	2170266	2171264	NZ_CM001632.1	1909	0.17117117117117117	0.14775725593667546	-1
Csx1_14_CAS-III	NZ_CM001632.1_4734	178	533	0.039	11.0	5260658	5261191	NZ_CM001632.1	4734	0.2640449438202247	0.08630393996247655	-1
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_CM001632.1_305	357	130	0.044000000000000004	12.1	314552	315622	NZ_CM001632.1	305	0.12324929971988796	0.3153846153846154	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CM001632.1_4132	1071	179	2.3e-15	55.5	4606371	4609583	NZ_CM001632.1	4132	0.1895424836601307	0.9888268156424581	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CM001632.1_4133	884	179	2.4e-06	26.1	4609622	4612273	NZ_CM001632.1	4133	0.21266968325791855	0.9720670391061452	-1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_CM001632.1_2532	228	179	0.035	12.6	2811377	2812060	NZ_CM001632.1	2532	0.3157894736842105	0.39664804469273746	1
Cas3-Cas2_0_IF	NZ_CM001632.1_4227	315	1110	0.0065	12.5	4704064	4705008	NZ_CM001632.1	4227	0.2857142857142857	0.04864864864864865	1
gRAMP_0_CAS-III-E	NZ_CM001632.1_3874	806	1610	3.7999999999999995e-32	109.2	4319413	4321830	NZ_CM001632.1	3874	0.533498759305211	0.24596273291925466	1
gRAMP_0_CAS-III-E	NZ_CM001632.1_3872	516	1610	5.099999999999999e-20	69.0	4317291	4318838	NZ_CM001632.1	3872	0.6201550387596899	0.19627329192546583	1
Csn2_6_CAS-II-A	NZ_CM001632.1_330	532	309	0.0097	13.5	338822	340417	NZ_CM001632.1	330	0.16729323308270677	0.284789644012945	-1
Csm3gr7_12_CAS-III-A-III-D	NZ_CM001632.1_3872	516	199	2.9999999999999996e-34	117.4	4317291	4318838	NZ_CM001632.1	3872	0.7151162790697675	0.9899497487437185	1
