Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
PrimPol_1_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_3117	199	130	0.02	13.6	3694127	3694723	NZ_MKZR01000001.1	3117	0.1658291457286432	0.25384615384615383	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_172	891	179	1.7e-05	23.7	184893	187565	NZ_MKZR01000001.1	172	0.11560044893378227	0.5865921787709497	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_420	266	179	0.0004	19.3	468962	469759	NZ_MKZR01000001.1	420	0.5112781954887218	0.6703910614525139	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_2648	209	179	0.0012	17.7	3158997	3159623	NZ_MKZR01000001.1	2648	0.28708133971291866	0.33519553072625696	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_1865	215	179	0.047	12.5	2211881	2212525	NZ_MKZR01000001.1	1865	0.2930232558139535	0.40782122905027934	1
Cas4_0_CAS-I-II-III-IV-V-VI	NZ_MKZR01000001.1_5461	208	179	0.069	12.0	6496630	6497253	NZ_MKZR01000001.1	5461	0.1971153846153846	0.24581005586592178	-1
Cas3-Cas2_0_IF	NZ_MKZR01000001.1_529	70	1110	0.022000000000000002	11.1	602420	602629	NZ_MKZR01000001.1	529	0.6714285714285714	0.043243243243243246	1
Csn2_3_CAS-II-A	NZ_MKZR01000001.1_341	369	219	0.027000000000000003	12.8	378375	379481	NZ_MKZR01000001.1	341	0.25474254742547425	0.4429223744292237	-1
Cas9_1_II	NZ_MKZR01000001.1_6425	426	1120	0.004	13.9	7689536	7690813	NZ_MKZR01000001.1	6425	0.38967136150234744	0.10892857142857143	-1
Cas9_1_II	NZ_MKZR01000001.1_4677	420	1120	0.019	11.7	5574324	5575583	NZ_MKZR01000001.1	4677	0.28809523809523807	0.10625	1
Cas9_1_II	NZ_MKZR01000001.1_6635	428	1120	0.024	11.3	7929863	7931146	NZ_MKZR01000001.1	6635	0.2383177570093458	0.09196428571428572	-1
Cas9_1_II	NZ_MKZR01000001.1_5326	231	1120	0.036000000000000004	10.7	6331568	6332260	NZ_MKZR01000001.1	5326	0.2683982683982684	0.04285714285714286	-1
Cas9_1_II	NZ_MKZR01000001.1_6708	430	1120	0.07200000000000001	9.7	8010633	8011922	NZ_MKZR01000001.1	6708	0.14883720930232558	0.0625	1
Cas5_1_CAS-I-B	NZ_MKZR01000001.1_4496	425	276	0.0037	15.2	5381868	5383142	NZ_MKZR01000001.1	4496	0.1952941176470588	0.31521739130434784	-1
Csx3_2_CAS-I-III	NZ_MKZR01000001.1_3809	464	277	2.4e-06	25.5	4567663	4569054	NZ_MKZR01000001.1	3809	0.13577586206896552	0.148014440433213	1
Csx3_2_CAS-I-III	NZ_MKZR01000001.1_171	673	277	0.00082	17.2	182647	184665	NZ_MKZR01000001.1	171	0.08915304606240713	0.21299638989169675	1
Csx3_2_CAS-I-III	NZ_MKZR01000001.1_1021	331	277	0.016	13.0	1219944	1220936	NZ_MKZR01000001.1	1021	0.1903323262839879	0.21299638989169675	1
Csx3_2_CAS-I-III	NZ_MKZR01000001.1_5366	543	277	0.022000000000000002	12.5	6376764	6378392	NZ_MKZR01000001.1	5366	0.0570902394106814	0.11191335740072202	1
Csx3_2_CAS-I-III	NZ_MKZR01000001.1_3661	701	277	0.026000000000000002	12.3	4387373	4389475	NZ_MKZR01000001.1	3661	0.05991440798858773	0.15162454873646208	-1
