Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM
NZ_AAVU01000033.1	NZ_AAVU01000033.1@1	23791	24588	False	0%	33%	I-A	2.0	['Cas4_0_CAS-I-II-III-IV-V-VI']	[33]	['9.00e-17']	[0.594]	[0.872]
NZ_AAVU01000029.1	NZ_AAVU01000029.1@2	26953	33233	False	0%	NA	III-B	2.0	['TPR_0_CAS-III-B', 'AbiEii_0_CAS-III']	[21, 24]	['2.60e-03', '3.80e-06']	[0.623, 0.337]	[0.381, 0.539]
NZ_AAVU01000058.1	NZ_AAVU01000058.1@2	23029	27203	False	0%	NA	IV-B	3.0	['CysH_0_IVB', 'RT_0_CAS-III-AM-III-B']	[21, 23]	['4.30e-05', '4.00e-56']	[0.318, 0.434]	[0.446, 0.842]
NZ_AAVU01000025.1	NZ_AAVU01000025.1@5	85112	86140	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[74]	['5.90e-58']	[0.72]	[0.805]
NZ_AAVU01000053.1	NZ_AAVU01000053.1@1	33147	40028	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B', 'TPR_0_CAS-III-B']	[30, 34]	['1.20e-10', '5.00e-13']	[0.361, 0.315]	[0.338, 0.391]
NZ_AAVU01000010.1	NZ_AAVU01000010.1@2	92705	95908	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[90]	['4.90e-24']	[0.356]	[0.428]
NZ_AAVU01000032.1	NZ_AAVU01000032.1@3	78116	81324	False	14%	33%	I-A	4.0	['Cas3_1_CAS-I', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[73, 76]	['5.00e-47', '1.40e-14']	[0.351, 0.707]	[0.33, 0.684]
NZ_AAVU01000039.1	NZ_AAVU01000039.1@1	19568	20569	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[24]	['3.10e-05']	[0.389]	[0.426]
NZ_AAVU01000044.1	NZ_AAVU01000044.1@1	412	1107	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2]	['1.70e-04']	[0.543]	[0.507]
NZ_AAVU01000027.1	NZ_AAVU01000027.1@1	51680	53410	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[46]	['1.60e-55']	[0.435]	[0.842]
NZ_AAVU01000019.1	NZ_AAVU01000019.1@1	70459	71835	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[60]	['2.00e-37']	[0.37]	[0.55]
NZ_AAVU01000012.1	NZ_AAVU01000012.1@1	316	1221	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['4.10e-05']	[0.331]	[0.729]
NZ_AAVU01000001.1	NZ_AAVU01000001.1@1	288118	289227	False	14%	0%	I-A	2.0	['Cas6_8_CAS-I-II-III-IV-V-VI']	[223]	['1.60e-57']	[0.735]	[0.927]
NZ_AAVU01000025.1	NZ_AAVU01000025.1@1	4376	6067	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[5]	['4.10e-51']	[0.527]	[0.809]
NZ_AAVU01000013.1	NZ_AAVU01000013.1@2	66540	67157	False	0%	NA	III-B	1.0	['NYN_0_CAS-III-B']	[54]	['2.50e-29']	[0.757]	[0.497]
NZ_AAVU01000064.1	NZ_AAVU01000064.1@1	8406	10931	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[9]	['1.90e-13']	[0.444]	[0.436]
NZ_AAVU01000014.1	NZ_AAVU01000014.1@2	95875	104282	False	0%	NA	III-B	2.0	['htpX_0_CAS-III-B', 'AbiEii_0_CAS-III']	[78, 80]	['1.80e-04', '5.60e-06']	[0.375, 0.347]	[0.312, 0.313]
NZ_AAVU01000067.1	NZ_AAVU01000067.1@1	7481	8641	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B']	[5]	['9.70e-56']	[0.646]	[0.842]
NZ_AAVU01000017.1	NZ_AAVU01000017.1@1	27009	27428	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[29]	['1.50e-20']	[0.65]	[0.847]
NZ_AAVU01000022.1	NZ_AAVU01000022.1@1	6779	7108	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[9]	['2.40e-23']	[0.818]	[0.839]
NZ_AAVU01000004.1	NZ_AAVU01000004.1@2	40823	42658	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[33]	['1.40e-05']	[0.5]	[0.621]
NZ_AAVU01000029.1	NZ_AAVU01000029.1@1	4630	9349	False	0%	33%	I-A	2.0	['2OG_0_CAS-I-II-III-IV-V-VI', 'Cas4_0_CAS-I-II-III-IV-V-VI']	[5, 9]	['5.80e-86', '4.20e-07']	[0.98, 0.388]	[0.971, 0.469]
NZ_AAVU01000013.1	NZ_AAVU01000013.1@1	9799	14312	False	0%	NA	III-A	1.0	['RT_0_CAS-III-AM-III-B', 'RT_0_CAS-III-AM-III-B']	[9, 10]	['1.10e-56', '2.70e-56']	[0.399, 0.444]	[0.735, 0.846]
NZ_AAVU01000055.1	NZ_AAVU01000055.1@1	5718	6791	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[7]	['1.50e-15']	[0.927]	[0.404]
NZ_AAVU01000056.1	NZ_AAVU01000056.1@1	22022	24625	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[11]	['2.50e-07']	[0.465]	[0.511]
NZ_AAVU01000046.1	NZ_AAVU01000046.1@1	50722	54270	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[44]	['6.00e-40']	[0.491]	[0.328]
NZ_AAVU01000031.1	NZ_AAVU01000031.1@1	72297	73127	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[60]	['2.50e-20']	[0.729]	[0.795]
NZ_AAVU01000009.1	NZ_AAVU01000009.1@1	56940	59507	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[52]	['1.40e-32']	[0.59]	[0.352]
NZ_AAVU01000034.1	NZ_AAVU01000034.1@2	67332	69938	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[42]	['5.60e-22']	[0.379]	[0.484]
NZ_AAVU01000010.1	NZ_AAVU01000010.1@3	136988	138136	False	0%	NA	III-C	1.0	['AbiEii_2_CAS-III-C']	[130]	['1.10e-13']	[0.616]	[0.557]
